Peru,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.3187096774193549,-0.18,,,,
47,1847,-0.2612903225806451,-0.18,,,,
48,1848,-0.29129032258064513,-0.18,,,,
49,1849,-0.2812903225806451,-0.18,,,,
50,1850,-0.29129032258064513,-0.18,0.11,0.11,0.14,0.1
51,1851,-0.1212903225806451,-0.18,0.11,0.11,0.14,0.1
52,1852,-0.18129032258064504,-0.18,0.11,0.11,0.13,0.1
53,1853,-0.1412903225806451,-0.18,0.1,0.1,0.13,0.1
54,1854,-0.05129032258064503,-0.18,0.1,0.1,0.13,0.09
55,1855,-0.041290322580645133,-0.17,0.1,0.1,0.12,0.09
56,1856,-0.3512903225806451,-0.16,0.1,0.1,0.12,0.09
57,1857,-0.6512903225806451,-0.16,0.1,0.1,0.12,0.09
58,1858,-0.16129032258064513,-0.15,0.1,0.09,0.11,0.09
59,1859,0.3787096774193549,-0.13,0.1,0.09,0.11,0.08
60,1860,0.02870967741935493,-0.12,0.1,0.09,0.11,0.08
61,1861,-0.29129032258064513,-0.09,0.1,0.09,0.1,0.08
62,1862,-0.4612903225806452,-0.07,0.1,0.09,0.1,0.08
63,1863,-0.06129032258064504,-0.04,0.1,0.08,0.1,0.08
64,1864,-0.10129032258064508,-0.02,0.1,0.08,0.1,0.08
65,1865,0.07870967741935486,0.01,0.1,0.08,0.1,0.08
66,1866,0.09870967741935488,0.03,0.1,0.09,0.1,0.08
67,1867,0.28870967741935494,0.05,0.1,0.09,0.11,0.08
68,1868,0.1187096774193549,0.06,0.1,0.09,0.11,0.08
69,1869,0.40870967741935493,0.08,0.1,0.09,0.11,0.09
70,1870,-0.011290322580645107,0.1,0.11,0.1,0.12,0.09
71,1871,-0.08129032258064506,0.11,0.11,0.1,0.13,0.09
72,1872,-0.021290322580645116,0.11,0.11,0.1,0.13,0.1
73,1873,0.4887096774193549,0.11,0.11,0.11,0.13,0.1
74,1874,0.07870967741935486,0.1,0.11,0.11,0.14,0.1
75,1875,-0.2612903225806451,0.08,0.11,0.11,0.14,0.1
76,1876,0.15870967741935493,0.07,0.12,0.11,0.14,0.1
77,1877,0.6187096774193549,0.05,0.12,0.11,0.14,0.1
78,1878,0.678709677419355,0.03,0.12,0.11,0.14,0.1
79,1879,-0.021290322580645116,0.01,0.11,0.11,0.14,0.09
80,1880,-0.1212903225806451,-0.01,0.11,0.1,0.13,0.09
81,1881,0.1887096774193549,-0.03,0.11,0.1,0.13,0.09
82,1882,-0.06129032258064504,-0.05,0.11,0.1,0.12,0.08
83,1883,-0.22129032258064507,-0.07,0.11,0.09,0.12,0.08
84,1884,-0.29129032258064513,-0.09,0.11,0.09,0.12,0.08
85,1885,-0.2412903225806451,-0.1,0.1,0.09,0.12,0.08
86,1886,-0.20129032258064505,-0.11,0.1,0.09,0.12,0.08
87,1887,-0.17129032258064514,-0.12,0.1,0.09,0.12,0.08
88,1888,0.048709677419354946,-0.11,0.1,0.09,0.11,0.08
89,1889,0.14870967741935492,-0.09,0.1,0.09,0.11,0.08
90,1890,-0.29129032258064513,-0.06,0.1,0.09,0.11,0.08
91,1891,-0.07129032258064505,-0.03,0.1,0.09,0.11,0.08
92,1892,-0.1312903225806451,0.0,0.11,0.1,0.12,0.09
93,1893,-0.2812903225806451,0.03,0.11,0.1,0.13,0.09
94,1894,0.01870967741935492,0.07,0.12,0.11,0.13,0.1
95,1895,0.3387096774193549,0.1,0.12,0.12,0.14,0.11
96,1896,0.3387096774193549,0.12,0.13,0.12,0.15,0.11
97,1897,0.2687096774193549,0.15,0.13,0.12,0.15,0.11
98,1898,-0.11129032258064508,0.17,0.13,0.12,0.15,0.11
99,1899,0.2487096774193549,0.2,0.13,0.12,0.15,0.11
100,1900,0.7087096774193549,0.21,0.13,0.13,0.15,0.12
