Kazakhstan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.30129032258064514,0.61,,,,
1,1801,0.7887096774193549,0.49,,,,
2,1802,0.5887096774193549,0.36,,,,
3,1803,0.07870967741935492,0.23,,,,
4,1804,0.15870967741935493,0.11,,,,
5,1805,0.40870967741935493,-0.02,,,,
6,1806,0.40870967741935493,-0.14,,,,
7,1807,0.2387096774193549,-0.25,,,,
8,1808,-0.5812903225806452,-0.37,,,,
9,1809,-1.431290322580645,-0.49,,,,
10,1810,-1.371290322580645,-0.6,,,,
11,1811,-1.3112903225806452,-0.69,,,,
12,1812,-0.9612903225806451,-0.77,,,,
13,1813,-0.5712903225806452,-0.82,,,,
14,1814,-0.4812903225806451,-0.84,,,,
15,1815,-1.0412903225806451,-0.82,,,,
16,1816,-1.261290322580645,-0.77,,,,
17,1817,-1.3112903225806452,-0.7,,,,
18,1818,0.3087096774193549,-0.62,,,,
19,1819,-1.131290322580645,-0.54,,,,
20,1820,-0.46129032258064506,-0.47,,,,
21,1821,-0.18129032258064504,-0.4,,,,
22,1822,-0.2812903225806451,-0.34,,,,
23,1823,-0.33129032258064506,-0.27,,,,
24,1824,0.27870967741935493,-0.23,,,,
25,1825,-0.17129032258064514,-0.2,,,,
26,1826,0.06870967741935491,-0.18,,,,
27,1827,0.6287096774193549,-0.18,,,,
28,1828,-0.661290322580645,-0.18,,,,
29,1829,-0.5112903225806451,-0.19,,,,
30,1830,0.4787096774193549,-0.23,,,,
31,1831,-0.641290322580645,-0.27,,,,
32,1832,-0.7112903225806451,-0.33,,,,
33,1833,-0.06129032258064504,-0.4,,,,
34,1834,0.03870967741935494,-0.45,,,,
35,1835,-0.641290322580645,-0.48,,,,
36,1836,-0.20129032258064505,-0.5,,,,
37,1837,-0.7912903225806451,-0.5,,,,
38,1838,-1.151290322580645,-0.49,,,,
39,1839,-1.0512903225806451,-0.48,,,,
40,1840,-0.631290322580645,-0.46,,,,
41,1841,-0.8112903225806452,-0.45,,,,
42,1842,0.07870967741935492,-0.43,,,,
43,1843,0.9587096774193549,-0.4,,,,
44,1844,-0.5512903225806451,-0.35,,,,
45,1845,-0.3912903225806451,-0.31,,,,
46,1846,0.20870967741935492,-0.26,,,,
47,1847,-0.1412903225806451,-0.22,,,,
48,1848,-0.7312903225806451,-0.18,,,,
49,1849,-0.021290322580645116,-0.15,,,,
50,1850,-0.4912903225806451,-0.13,0.36,0.33,0.39,0.32
51,1851,0.09870967741935494,-0.11,0.36,0.33,0.39,0.32
52,1852,-0.17129032258064514,-0.1,0.36,0.33,0.39,0.32
53,1853,-0.5412903225806451,-0.09,0.36,0.33,0.38,0.32
54,1854,0.4287096774193549,-0.1,0.36,0.33,0.38,0.32
55,1855,0.6187096774193549,-0.11,0.36,0.33,0.38,0.32
56,1856,0.27870967741935493,-0.12,0.36,0.33,0.38,0.32
57,1857,-0.8412903225806452,-0.13,0.36,0.33,0.38,0.32
58,1858,-0.011290322580645107,-0.14,0.37,0.33,0.38,0.32
59,1859,0.9087096774193549,-0.15,0.37,0.33,0.38,0.32
60,1860,-1.201290322580645,-0.15,0.37,0.33,0.38,0.32
61,1861,-0.5212903225806451,-0.15,0.37,0.33,0.38,0.32
62,1862,-1.221290322580645,-0.16,0.37,0.33,0.38,0.32
63,1863,0.7487096774193549,-0.16,0.37,0.33,0.39,0.33
64,1864,-0.4812903225806451,-0.15,0.38,0.33,0.39,0.33
65,1865,-0.34129032258064507,-0.14,0.38,0.34,0.4,0.34
66,1866,0.08870967741935493,-0.11,0.38,0.34,0.41,0.34
67,1867,1.088709677419355,-0.07,0.39,0.34,0.42,0.34
68,1868,-0.30129032258064514,-0.03,0.39,0.35,0.43,0.35
69,1869,0.1187096774193549,0.01,0.39,0.35,0.43,0.35
70,1870,-0.031290322580645125,0.03,0.39,0.35,0.44,0.35
71,1871,-0.20129032258064505,0.05,0.39,0.36,0.44,0.35
72,1872,-0.1312903225806451,0.08,0.39,0.36,0.44,0.35
73,1873,0.3487096774193549,0.1,0.39,0.35,0.44,0.35
74,1874,0.7787096774193549,0.11,0.38,0.35,0.44,0.34
75,1875,-0.29129032258064513,0.12,0.38,0.35,0.44,0.34
76,1876,-0.34129032258064507,0.12,0.38,0.35,0.44,0.33
77,1877,-0.1312903225806451,0.11,0.37,0.34,0.43,0.33
78,1878,1.018709677419355,0.09,0.36,0.33,0.42,0.31
79,1879,0.9087096774193549,0.07,0.34,0.31,0.41,0.3
