Bolivia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.65,-0.58,,,,
33,1833,0.029999999999999916,-0.56,,,,
34,1834,-0.09000000000000008,-0.54,,,,
35,1835,-0.7600000000000001,-0.52,,,,
36,1836,-0.5100000000000001,-0.5,,,,
37,1837,-0.86,-0.48,,,,
38,1838,-0.64,-0.46,,,,
39,1839,-0.57,-0.43,,,,
40,1840,-0.3400000000000001,-0.41,,,,
41,1841,-0.59,-0.39,,,,
42,1842,-0.18000000000000005,-0.37,,,,
43,1843,-0.020000000000000018,-0.35,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,-0.14,-0.13,-0.09,-0.13
51,1851,-0.16000000000000003,-0.2,-0.14,-0.14,-0.1,-0.14
52,1852,-0.19000000000000006,-0.19,-0.15,-0.14,-0.1,-0.14
53,1853,-0.16000000000000003,-0.19,-0.15,-0.15,-0.11,-0.15
54,1854,-0.030000000000000027,-0.19,-0.16,-0.15,-0.12,-0.15
55,1855,-0.17000000000000004,-0.19,-0.16,-0.16,-0.12,-0.16
56,1856,-0.4700000000000001,-0.19,-0.16,-0.16,-0.13,-0.16
57,1857,-0.57,-0.18,-0.17,-0.16,-0.13,-0.16
58,1858,-0.32000000000000006,-0.17,-0.17,-0.17,-0.13,-0.17
59,1859,0.39999999999999997,-0.17,-0.17,-0.17,-0.14,-0.17
60,1860,0.12999999999999995,-0.16,-0.17,-0.17,-0.14,-0.17
61,1861,-0.27,-0.13,-0.17,-0.18,-0.15,-0.17
62,1862,-0.35,-0.09,-0.18,-0.18,-0.15,-0.18
63,1863,-0.10999999999999999,-0.05,-0.18,-0.18,-0.15,-0.18
64,1864,-0.19000000000000006,-0.02,-0.18,-0.18,-0.15,-0.17
65,1865,0.09999999999999998,-0.0,-0.17,-0.17,-0.15,-0.17
66,1866,0.18999999999999995,0.01,-0.17,-0.17,-0.14,-0.17
67,1867,0.20999999999999996,0.03,-0.16,-0.17,-0.14,-0.16
68,1868,0.18,0.05,-0.16,-0.16,-0.13,-0.16
69,1869,0.19999999999999996,0.06,-0.16,-0.16,-0.12,-0.15
70,1870,-0.07000000000000006,0.07,-0.15,-0.15,-0.12,-0.15
71,1871,-0.07000000000000006,0.07,-0.15,-0.14,-0.11,-0.14
72,1872,-0.050000000000000044,0.08,-0.14,-0.14,-0.1,-0.14
73,1873,0.8099999999999999,0.07,-0.14,-0.14,-0.1,-0.13
74,1874,0.0,0.07,-0.14,-0.13,-0.1,-0.13
75,1875,-0.37,0.07,-0.13,-0.13,-0.09,-0.13
76,1876,0.18999999999999995,0.06,-0.13,-0.13,-0.09,-0.13
77,1877,0.82,0.06,-0.13,-0.13,-0.09,-0.13
78,1878,0.49,0.05,-0.13,-0.13,-0.09,-0.13
79,1879,-0.14,0.04,-0.13,-0.13,-0.1,-0.14
80,1880,-0.030000000000000027,0.02,-0.13,-0.14,-0.1,-0.14
81,1881,0.20999999999999996,0.0,-0.13,-0.14,-0.11,-0.14
82,1882,-0.12,-0.01,-0.13,-0.14,-0.11,-0.15
83,1883,-0.09999999999999998,-0.04,-0.14,-0.15,-0.11,-0.15
84,1884,-0.14,-0.06,-0.14,-0.15,-0.11,-0.15
85,1885,-0.09000000000000008,-0.07,-0.14,-0.15,-0.11,-0.15
86,1886,-0.33000000000000007,-0.08,-0.14,-0.15,-0.12,-0.15
87,1887,-0.13,-0.09,-0.14,-0.15,-0.12,-0.15
88,1888,0.19999999999999996,-0.09,-0.14,-0.15,-0.12,-0.16
89,1889,-0.030000000000000027,-0.07,-0.14,-0.16,-0.13,-0.16
90,1890,-0.31000000000000005,-0.04,-0.15,-0.16,-0.13,-0.16
91,1891,0.08999999999999997,-0.01,-0.15,-0.16,-0.13,-0.16
92,1892,-0.09999999999999998,0.02,-0.15,-0.15,-0.12,-0.15
93,1893,-0.31000000000000005,0.05,-0.14,-0.14,-0.11,-0.15
94,1894,-0.030000000000000027,0.09,-0.14,-0.14,-0.11,-0.14
