Over the ocean,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.13387096774193558,0.4,,,,
1,1801,0.3761290322580645,0.31,,,,
2,1802,0.21612903225806449,0.21,,,,
3,1803,0.10612903225806447,0.12,,,,
4,1804,0.1861290322580645,0.02,,,,
5,1805,-0.023870967741935534,-0.07,,,,
6,1806,0.20612903225806448,-0.17,,,,
7,1807,-0.1838709677419355,-0.26,,,,
8,1808,-0.4238709677419355,-0.34,,,,
9,1809,-0.7938709677419356,-0.44,,,,
10,1810,-1.0138709677419355,-0.51,,,,
11,1811,-1.1138709677419356,-0.58,,,,
12,1812,-0.9738709677419355,-0.62,,,,
13,1813,-0.34387096774193554,-0.65,,,,
14,1814,-0.7538709677419355,-0.65,,,,
15,1815,-0.7838709677419355,-0.64,,,,
16,1816,-1.1538709677419356,-0.61,,,,
17,1817,-0.9938709677419355,-0.55,,,,
18,1818,0.016129032258064502,-0.48,,,,
19,1819,-0.5638709677419356,-0.41,,,,
20,1820,-0.4438709677419355,-0.33,,,,
21,1821,-0.13387096774193558,-0.26,,,,
22,1822,0.1261290322580645,-0.19,,,,
23,1823,-0.37387096774193557,-0.12,,,,
24,1824,0.15612903225806446,-0.07,,,,
25,1825,0.05612903225806448,-0.04,,,,
26,1826,0.4861290322580645,-0.02,,,,
27,1827,0.4261290322580645,-0.01,,,,
28,1828,0.10612903225806447,-0.02,,,,
29,1829,-0.2938709677419355,-0.04,,,,
30,1830,0.40612903225806446,-0.08,,,,
31,1831,0.006129032258064493,-0.12,,,,
32,1832,-0.6238709677419356,-0.16,,,,
33,1833,-0.12387096774193557,-0.21,,,,
34,1834,-0.03387096774193554,-0.24,,,,
35,1835,-0.7238709677419355,-0.27,,,,
36,1836,-0.6338709677419356,-0.29,,,,
37,1837,-0.8038709677419356,-0.3,,,,
38,1838,-0.5338709677419355,-0.31,,,,
39,1839,-0.24387096774193556,-0.31,,,,
40,1840,-0.15387096774193548,-0.29,,,,
41,1841,-0.2938709677419355,-0.27,,,,
42,1842,-0.14387096774193547,-0.24,,,,
43,1843,0.016129032258064502,-0.21,,,,
44,1844,-0.6238709677419356,-0.17,,,,
45,1845,-0.26387096774193547,-0.14,,,,
46,1846,0.4361290322580645,-0.12,,,,
47,1847,-0.03387096774193554,-0.1,,,,
48,1848,-0.11387096774193556,-0.09,,,,
49,1849,-0.10387096774193555,-0.08,,,,
50,1850,-0.14387096774193547,-0.07,0.5,0.48,0.52,0.48
