Palestine,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.233225806451613,-1.25,,,,
10,1810,-1.163225806451613,-1.2,,,,
11,1811,-1.363225806451613,-1.14,,,,
12,1812,-1.153225806451613,-1.09,,,,
13,1813,-0.923225806451613,-1.03,,,,
14,1814,-0.683225806451613,-0.98,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,-0.933225806451613,-0.7,,,,
20,1820,-0.663225806451613,-0.65,,,,
21,1821,-0.603225806451613,-0.6,,,,
22,1822,-0.7632258064516129,-0.56,,,,
23,1823,-0.43322580645161296,-0.52,,,,
24,1824,0.17677419354838708,-0.49,,,,
25,1825,-0.4732258064516129,-0.48,,,,
26,1826,-0.3532258064516129,-0.47,,,,
27,1827,0.3867741935483871,-0.45,,,,
28,1828,-0.42322580645161295,-0.44,,,,
29,1829,-0.4632258064516129,-0.47,,,,
30,1830,-0.10322580645161289,-0.51,,,,
31,1831,-0.7332258064516131,-0.57,,,,
32,1832,-1.353225806451613,-0.63,,,,
33,1833,-0.5332258064516129,-0.69,,,,
34,1834,-0.603225806451613,-0.74,,,,
35,1835,-1.003225806451613,-0.78,,,,
36,1836,-0.7532258064516131,-0.79,,,,
37,1837,-1.073225806451613,-0.8,,,,
38,1838,-1.103225806451613,-0.78,,,,
39,1839,-0.873225806451613,-0.75,,,,
40,1840,-0.8432258064516129,-0.7,,,,
41,1841,-0.5832258064516129,-0.65,,,,
42,1842,-0.45322580645161287,-0.58,,,,
43,1843,-0.4832258064516129,-0.51,,,,
44,1844,-0.5932258064516129,-0.44,,,,
45,1845,-0.4632258064516129,-0.37,,,,
46,1846,0.2167741935483871,-0.31,,,,
47,1847,-0.18322580645161296,-0.25,,,,
48,1848,-0.08322580645161293,-0.21,,,,
49,1849,-0.15322580645161293,-0.17,,,,
50,1850,-0.693225806451613,-0.16,0.13,0.08,0.12,0.1
51,1851,0.14677419354838708,-0.16,0.13,0.09,0.13,0.11
52,1852,-0.04322580645161289,-0.16,0.14,0.1,0.14,0.12
53,1853,0.4367741935483871,-0.16,0.14,0.1,0.14,0.12
54,1854,-0.3932258064516129,-0.16,0.15,0.11,0.15,0.13
55,1855,-0.01322580645161292,-0.16,0.16,0.12,0.16,0.13
56,1856,-0.5232258064516129,-0.17,0.16,0.12,0.17,0.14
57,1857,-0.723225806451613,-0.17,0.17,0.13,0.17,0.15
58,1858,-0.08322580645161293,-0.17,0.17,0.14,0.18,0.15
59,1859,0.03677419354838707,-0.14,0.18,0.14,0.19,0.16
60,1860,0.3267741935483871,-0.11,0.18,0.15,0.19,0.16
61,1861,-0.5532258064516129,-0.06,0.19,0.15,0.2,0.17
62,1862,-0.5632258064516129,-0.0,0.2,0.16,0.2,0.17
63,1863,-0.27322580645161293,0.05,0.2,0.16,0.21,0.18
64,1864,0.4667741935483871,0.09,0.2,0.17,0.21,0.18
65,1865,0.5667741935483871,0.12,0.2,0.17,0.21,0.18
66,1866,0.3867741935483871,0.14,0.21,0.17,0.21,0.18
67,1867,0.3067741935483871,0.17,0.21,0.17,0.21,0.18
68,1868,-0.0532258064516129,0.19,0.21,0.17,0.21,0.18
69,1869,0.5767741935483871,0.2,0.21,0.17,0.21,0.18
70,1870,0.13677419354838707,0.21,0.21,0.17,0.21,0.18
71,1871,-0.613225806451613,0.22,0.21,0.17,0.21,0.18
72,1872,0.16677419354838707,0.23,0.21,0.17,0.21,0.18
73,1873,0.4867741935483871,0.24,0.21,0.17,0.21,0.18
74,1874,-0.2432258064516129,0.24,0.21,0.17,0.21,0.18
75,1875,-1.123225806451613,0.23,0.21,0.17,0.21,0.18
76,1876,0.3367741935483871,0.21,0.21,0.17,0.21,0.18
77,1877,0.6567741935483871,0.18,0.21,0.17,0.21,0.18
78,1878,0.5567741935483871,0.14,0.2,0.17,0.21,0.18
79,1879,0.7167741935483871,0.1,0.2,0.16,0.21,0.18
80,1880,-0.41322580645161294,0.05,0.19,0.16,0.21,0.17
81,1881,0.17677419354838708,-0.0,0.18,0.15,0.2,0.16
82,1882,-0.693225806451613,-0.05,0.18,0.15,0.2,0.16
83,1883,-0.31322580645161296,-0.1,0.17,0.14,0.19,0.15
84,1884,-0.873225806451613,-0.14,0.17,0.14,0.19,0.15
85,1885,0.016774193548387106,-0.16,0.17,0.14,0.19,0.15
86,1886,-0.633225806451613,-0.17,0.17,0.14,0.19,0.15
87,1887,-0.06322580645161291,-0.17,0.17,0.14,0.19,0.15
88,1888,0.016774193548387106,-0.16,0.16,0.13,0.19,0.14
