Egypt,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.028709677419354818,0.65,,,,
1,1801,0.5887096774193548,0.53,,,,
2,1802,0.5387096774193548,0.41,,,,
3,1803,,,,,,
4,1804,0.3387096774193548,0.17,,,,
5,1805,0.16870967741935483,0.05,,,,
6,1806,0.10870967741935483,-0.06,,,,
7,1807,0.048709677419354835,-0.18,,,,
8,1808,,,,,,
9,1809,-1.0912903225806452,-0.4,,,,
10,1810,-1.011290322580645,-0.52,,,,
11,1811,-1.161290322580645,-0.62,,,,
12,1812,-1.011290322580645,-0.7,,,,
13,1813,-0.7612903225806451,-0.76,,,,
14,1814,-0.661290322580645,-0.8,,,,
15,1815,-0.8512903225806452,-0.8,,,,
16,1816,-1.2712903225806451,-0.77,,,,
17,1817,-1.0512903225806451,-0.72,,,,
18,1818,-0.15129032258064518,-0.66,,,,
19,1819,-0.8012903225806451,-0.61,,,,
20,1820,-0.4112903225806452,-0.55,,,,
21,1821,-0.5412903225806451,-0.48,,,,
22,1822,-0.4412903225806452,-0.42,,,,
23,1823,-0.37129032258064515,-0.36,,,,
24,1824,0.1387096774193548,-0.32,,,,
25,1825,-0.35129032258064513,-0.3,,,,
26,1826,-0.20129032258064522,-0.3,,,,
27,1827,0.4087096774193548,-0.31,,,,
28,1828,-0.2812903225806452,-0.33,,,,
29,1829,-0.37129032258064515,-0.36,,,,
30,1830,0.028709677419354818,-0.41,,,,
31,1831,-0.6112903225806452,-0.46,,,,
32,1832,-1.0412903225806451,-0.52,,,,
33,1833,-0.4212903225806452,-0.57,,,,
34,1834,-0.5112903225806451,-0.62,,,,
35,1835,-0.931290322580645,-0.65,,,,
36,1836,-0.671290322580645,-0.66,,,,
37,1837,-1.0412903225806451,-0.66,,,,
38,1838,-0.8812903225806452,-0.64,,,,
39,1839,-0.701290322580645,-0.62,,,,
40,1840,-0.5812903225806452,-0.58,,,,
41,1841,-0.4312903225806452,-0.53,,,,
42,1842,-0.34129032258064523,-0.48,,,,
43,1843,-0.35129032258064513,-0.43,,,,
44,1844,-0.5612903225806452,-0.39,,,,
45,1845,-0.38129032258064516,-0.36,,,,
46,1846,0.3287096774193548,-0.33,,,,
47,1847,-0.10129032258064513,-0.31,,,,
48,1848,-0.3112903225806452,-0.28,,,,
49,1849,-0.34129032258064523,-0.27,,,,
50,1850,-0.8012903225806451,-0.26,0.0,-0.05,-0.02,-0.03
51,1851,-0.23129032258064514,-0.25,0.01,-0.05,-0.01,-0.03
52,1852,-0.22129032258064513,-0.25,0.01,-0.04,-0.01,-0.02
53,1853,0.2387096774193548,-0.24,0.01,-0.04,-0.0,-0.02
54,1854,-0.3312903225806452,-0.22,0.02,-0.03,0.0,-0.01
55,1855,-0.03129032258064518,-0.2,0.02,-0.03,0.01,-0.01
56,1856,-0.4512903225806452,-0.17,0.03,-0.02,0.01,-0.0
57,1857,-0.6312903225806452,-0.15,0.03,-0.02,0.02,0.0
58,1858,-0.0012903225806451535,-0.12,0.03,-0.01,0.02,0.01
59,1859,-0.02129032258064517,-0.08,0.04,-0.01,0.03,0.01
60,1860,0.2387096774193548,-0.03,0.04,-0.0,0.03,0.01
61,1861,-0.20129032258064522,0.02,0.05,0.0,0.03,0.02
62,1862,-0.3312903225806452,0.07,0.05,0.01,0.04,0.02
63,1863,-0.02129032258064517,0.12,0.05,0.01,0.04,0.02
64,1864,0.4687096774193548,0.15,0.05,0.01,0.04,0.03
65,1865,0.5087096774193548,0.18,0.06,0.01,0.04,0.03
66,1866,0.41870967741935483,0.19,0.06,0.01,0.04,0.03
67,1867,0.47870967741935483,0.2,0.06,0.01,0.04,0.03
68,1868,-0.02129032258064517,0.2,0.06,0.01,0.04,0.03
69,1869,0.3487096774193548,0.19,0.06,0.01,0.04,0.03
70,1870,0.21870967741935482,0.17,0.06,0.01,0.04,0.03
71,1871,-0.1712903225806452,0.15,0.07,0.02,0.04,0.03
72,1872,0.09870967741935482,0.14,0.07,0.02,0.05,0.04
73,1873,0.2687096774193548,0.13,0.07,0.02,0.05,0.04
74,1874,-0.16129032258064518,0.13,0.07,0.02,0.05,0.04
75,1875,-0.8312903225806452,0.13,0.07,0.02,0.05,0.04
76,1876,0.01870967741935481,0.12,0.07,0.03,0.06,0.04
77,1877,0.29870967741935484,0.1,0.07,0.03,0.06,0.04
78,1878,0.5587096774193548,0.08,0.07,0.02,0.06,0.04
79,1879,0.17870967741935484,0.05,0.06,0.02,0.05,0.03
80,1880,0.11870967741935484,0.02,0.05,0.01,0.05,0.03
81,1881,0.3787096774193548,-0.01,0.05,0.01,0.05,0.02
