Estonia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.13,0.19,,,,
1,1801,0.92,0.13,,,,
2,1802,0.49000000000000005,0.07,,,,
3,1803,-0.49,0.02,,,,
4,1804,-0.2899999999999999,-0.04,,,,
5,1805,-0.69,-0.09,,,,
6,1806,0.24000000000000005,-0.15,,,,
7,1807,0.42000000000000004,-0.2,,,,
8,1808,-0.25,-0.25,,,,
9,1809,-1.29,-0.3,,,,
10,1810,-0.9199999999999999,-0.3,,,,
11,1811,0.55,-0.29,,,,
12,1812,-1.1199999999999999,-0.26,,,,
13,1813,0.29000000000000004,-0.22,,,,
14,1814,-0.8,-0.17,,,,
15,1815,-0.22999999999999998,-0.09,,,,
16,1816,-0.33999999999999997,-0.0,,,,
17,1817,0.14,0.11,,,,
18,1818,0.6900000000000001,0.22,,,,
19,1819,0.62,0.34,,,,
20,1820,-0.36,0.44,,,,
21,1821,0.39,0.51,,,,
22,1822,2.04,0.55,,,,
23,1823,0.34,0.56,,,,
24,1824,1.34,0.54,,,,
25,1825,0.65,0.52,,,,
26,1826,1.78,0.5,,,,
27,1827,0.88,0.48,,,,
28,1828,-0.6199999999999999,0.46,,,,
29,1829,-1.8,0.42,,,,
30,1830,-0.15999999999999992,0.36,,,,
31,1831,0.21000000000000002,0.29,,,,
32,1832,0.06000000000000005,0.21,,,,
33,1833,0.73,0.13,,,,
34,1834,0.96,0.09,,,,
35,1835,0.07,0.08,,,,
36,1836,0.36,0.08,,,,
37,1837,0.13,0.08,,,,
38,1838,-1.05,0.06,,,,
39,1839,-0.30999999999999994,0.03,,,,
40,1840,-0.8999999999999999,0.0,,,,
41,1841,0.5800000000000001,-0.02,,,,
42,1842,0.48000000000000004,-0.04,,,,
43,1843,0.99,-0.04,,,,
44,1844,-1.24,-0.02,,,,
45,1845,-0.6799999999999999,-0.0,,,,
46,1846,0.5800000000000001,0.02,,,,
47,1847,0.14,0.03,,,,
48,1848,0.54,0.03,,,,
49,1849,-0.56,0.01,,,,
50,1850,-0.22999999999999998,0.01,0.64,0.71,0.77,0.65
51,1851,0.64,0.02,0.64,0.71,0.77,0.65
52,1852,-0.47,0.06,0.64,0.7,0.76,0.65
53,1853,0.23000000000000004,0.09,0.64,0.7,0.75,0.65
54,1854,0.65,0.11,0.64,0.7,0.75,0.65
55,1855,-0.6699999999999999,0.13,0.64,0.7,0.74,0.65
56,1856,-1.1199999999999999,0.14,0.64,0.69,0.74,0.65
57,1857,0.62,0.14,0.64,0.69,0.73,0.65
58,1858,0.91,0.14,0.64,0.69,0.73,0.65
59,1859,1.26,0.13,0.64,0.69,0.72,0.65
60,1860,-0.05999999999999994,0.12,0.64,0.69,0.72,0.65
61,1861,0.050000000000000044,0.12,0.64,0.69,0.71,0.65
62,1862,-1.8800000000000001,0.12,0.64,0.68,0.71,0.65
