Mozambique,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,-0.14884615384615396,-0.16,,,,
54,1854,-0.018846153846153957,-0.16,,,,
55,1855,-0.12884615384615405,-0.15,,,,
56,1856,-0.178846153846154,-0.14,,,,
57,1857,-0.38884615384615395,-0.13,,,,
58,1858,-0.008846153846154059,-0.12,,,,
59,1859,0.171153846153846,-0.1,,,,
60,1860,-0.14884615384615396,-0.09,,,,
61,1861,-0.27884615384615397,-0.07,,,,
62,1862,-0.5088461538461541,-0.05,,,,
63,1863,-0.07884615384615401,-0.02,,,,
64,1864,-0.15884615384615397,-0.0,,,,
65,1865,0.21115384615384597,0.02,,,,
66,1866,0.321153846153846,0.03,,,,
67,1867,0.361153846153846,0.05,,,,
68,1868,0.011153846153845959,0.06,,,,
69,1869,0.331153846153846,0.07,,,,
70,1870,-0.018846153846153957,0.08,,,,
71,1871,-0.038846153846153975,0.09,,,,
72,1872,0.00115384615384595,0.09,,,,
73,1873,,,,,,
74,1874,0.181153846153846,0.07,,,,
75,1875,-0.198846153846154,0.05,,,,
76,1876,-0.05884615384615399,0.04,,,,
77,1877,0.38115384615384595,0.03,,,,
78,1878,0.511153846153846,0.02,,,,
79,1879,-0.11884615384615405,0.01,,,,
80,1880,,,,,,
81,1881,0.00115384615384595,-0.02,,,,
82,1882,-0.09884615384615403,-0.02,,,,
83,1883,0.00115384615384595,-0.03,,,,
84,1884,-0.26884615384615396,-0.04,,,,
85,1885,-0.12884615384615405,-0.05,,,,
86,1886,-0.038846153846153975,-0.05,,,,
87,1887,-0.288846153846154,-0.04,,,,
88,1888,0.11115384615384599,-0.03,,,,
89,1889,0.531153846153846,-0.01,,,,
90,1890,-0.11884615384615405,0.01,,,,
91,1891,-0.10884615384615404,0.04,,,,
92,1892,0.27115384615384597,0.06,,,,
93,1893,-0.12884615384615405,0.08,,,,
94,1894,0.00115384615384595,0.1,,,,
95,1895,0.181153846153846,0.11,,,,
96,1896,0.39115384615384596,0.12,,,,
97,1897,0.301153846153846,0.14,,,,
98,1898,0.00115384615384595,0.15,,,,
99,1899,-0.05884615384615399,0.16,,,,
100,1900,0.701153846153846,0.15,,,,
101,1901,-0.038846153846153975,0.14,,,,
102,1902,0.371153846153846,0.14,,,,
103,1903,0.281153846153846,0.13,,,,
104,1904,-0.47884615384615403,0.13,,,,
105,1905,0.21115384615384597,0.13,,,,
106,1906,-0.05884615384615399,0.13,,,,
107,1907,-0.428846153846154,0.14,,,,
108,1908,0.39115384615384596,0.15,,,,
109,1909,0.501153846153846,0.17,,,,
110,1910,-0.39884615384615396,0.19,,,,
111,1911,-0.328846153846154,0.22,,,,
112,1912,0.39115384615384596,0.24,,,,
113,1913,0.311153846153846,0.27,,,,
114,1914,0.421153846153846,0.29,,,,
115,1915,0.481153846153846,0.31,,,,
116,1916,0.311153846153846,0.33,,,,
117,1917,0.261153846153846,0.36,,,,
118,1918,0.14115384615384602,0.38,,,,
119,1919,0.431153846153846,0.39,,,,
120,1920,0.431153846153846,0.4,,,,
121,1921,0.27115384615384597,0.4,,,,
122,1922,0.801153846153846,0.4,,,,
123,1923,0.701153846153846,0.41,,,,
124,1924,0.34115384615384603,0.41,,,,
125,1925,0.39115384615384596,0.41,,,,
126,1926,0.441153846153846,0.41,,,,
127,1927,0.11115384615384599,0.4,,,,
128,1928,0.471153846153846,0.38,,,,
129,1929,0.431153846153846,0.36,,,,
130,1930,0.031153846153845977,0.34,,,,
131,1931,0.571153846153846,0.33,,,,
132,1932,0.471153846153846,0.32,,,,
133,1933,0.21115384615384597,0.31,,,,
134,1934,0.441153846153846,0.31,,,,
