Mali,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.058387096774193514,-0.1,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,0.1716129032258065,-0.17,,,,
7,1807,,,,,,
8,1808,-0.4983870967741935,-0.19,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.38838709677419353,-0.25,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,0.05161290322580653,-0.31,,,,
19,1819,-0.7583870967741935,-0.3,,,,
20,1820,-0.43838709677419346,-0.28,,,,
21,1821,-0.24838709677419352,-0.25,,,,
22,1822,-0.29838709677419345,-0.23,,,,
23,1823,-0.3383870967741935,-0.2,,,,
24,1824,0.1716129032258065,-0.19,,,,
25,1825,-0.12838709677419352,-0.17,,,,
26,1826,0.0016129032258064835,-0.14,,,,
27,1827,0.3116129032258065,-0.14,,,,
28,1828,-0.24838709677419352,-0.14,,,,
29,1829,-0.2283870967741935,-0.16,,,,
30,1830,0.3116129032258065,-0.19,,,,
31,1831,-0.3383870967741935,-0.23,,,,
32,1832,-0.6383870967741936,-0.27,,,,
33,1833,-0.2183870967741935,-0.31,,,,
34,1834,0.011612903225806492,-0.34,,,,
35,1835,-0.6783870967741936,-0.37,,,,
36,1836,-0.4583870967741935,-0.39,,,,
37,1837,-0.6083870967741936,-0.39,,,,
38,1838,-0.3783870967741935,-0.4,,,,
39,1839,-0.4783870967741935,-0.4,,,,
40,1840,-0.26838709677419353,-0.4,,,,
41,1841,-0.5483870967741935,-0.39,,,,
42,1842,,,,,,
43,1843,-0.00838709677419347,-0.36,,,,
44,1844,-0.4983870967741935,-0.34,,,,
45,1845,-0.42838709677419345,-0.31,,,,
46,1846,,,,,,
47,1847,-0.17838709677419345,-0.26,,,,
48,1848,-0.39838709677419354,-0.24,,,,
49,1849,-0.24838709677419352,-0.22,,,,
50,1850,-0.24838709677419352,-0.21,,,,
51,1851,0.0016129032258064835,-0.19,,,,
52,1852,-0.048387096774193505,-0.16,,,,
53,1853,0.03161290322580651,-0.14,,,,
54,1854,-0.18838709677419346,-0.12,,,,
55,1855,-0.2283870967741935,-0.11,,,,
56,1856,-0.19838709677419347,-0.11,,,,
57,1857,-0.31838709677419347,-0.11,,,,
58,1858,0.4216129032258065,-0.11,,,,
59,1859,0.2816129032258065,-0.1,,,,
60,1860,-0.27838709677419354,-0.08,,,,
61,1861,-0.0983870967741935,-0.05,,,,
62,1862,-0.40838709677419355,-0.03,,,,
63,1863,-0.3783870967741935,-0.0,,,,
64,1864,0.2216129032258065,0.01,,,,
65,1865,0.1516129032258065,0.02,,,,
66,1866,0.2616129032258065,0.02,,,,
67,1867,0.7516129032258065,0.03,,,,
68,1868,-0.2283870967741935,0.04,,,,
69,1869,0.2116129032258065,0.03,,,,
70,1870,0.2016129032258065,0.03,,,,
71,1871,-0.048387096774193505,0.02,,,,
72,1872,-0.3783870967741935,0.01,,,,
73,1873,-0.038387096774193497,0.0,,,,
74,1874,-0.058387096774193514,0.0,,,,
75,1875,-0.26838709677419353,0.01,,,,
76,1876,0.06161290322580648,0.01,,,,
77,1877,0.3116129032258065,0.01,,,,
78,1878,0.7716129032258066,0.01,,,,
79,1879,0.011612903225806492,0.02,,,,
80,1880,-0.27838709677419354,0.02,,,,
81,1881,0.5216129032258066,0.02,,,,
82,1882,-0.058387096774193514,0.02,,,,
83,1883,0.07161290322580649,0.01,,,,
84,1884,-0.19838709677419347,-0.0,,,,
85,1885,-0.2583870967741935,-0.01,,,,
86,1886,0.03161290322580651,-0.0,,,,
87,1887,0.06161290322580648,0.01,,,,
88,1888,0.16161290322580651,0.04,,,,
89,1889,-0.058387096774193514,0.06,,,,
90,1890,-0.5983870967741935,0.09,,,,
91,1891,0.07161290322580649,0.11,,,,
92,1892,0.3016129032258065,0.13,,,,
93,1893,0.5516129032258065,0.15,,,,
94,1894,0.03161290322580651,0.16,,,,
95,1895,0.5816129032258065,0.18,,,,
96,1896,-0.29838709677419345,0.19,,,,
97,1897,0.2316129032258065,0.18,,,,
98,1898,0.12161290322580648,0.16,,,,
99,1899,1.0316129032258066,0.11,,,,
100,1900,0.1316129032258065,0.07,,,,
101,1901,0.3416129032258065,0.02,,,,
102,1902,0.4816129032258065,-0.01,,,,
103,1903,-0.3483870967741935,-0.04,,,,
104,1904,-0.41838709677419345,-0.06,,,,
105,1905,-0.3483870967741935,-0.08,,,,
106,1906,-0.11838709677419351,-0.1,,,,
107,1907,-0.5383870967741935,-0.1,,,,
108,1908,-0.038387096774193497,-0.08,,,,
109,1909,0.0016129032258064835,-0.06,,,,
110,1910,0.3416129032258065,-0.03,,,,
111,1911,-0.4983870967741935,-0.0,,,,
112,1912,0.1316129032258065,0.01,,,,
113,1913,0.2216129032258065,0.01,,,,
114,1914,0.5516129032258065,0.02,,,,
115,1915,0.1716129032258065,0.02,,,,
116,1916,-0.24838709677419352,0.02,,,,
117,1917,-0.0983870967741935,0.03,,,,
118,1918,-0.40838709677419355,0.05,,,,
119,1919,-0.01838709677419348,0.06,,,,
120,1920,-0.01838709677419348,0.09,,,,
121,1921,0.011612903225806492,0.11,,,,
122,1922,0.3016129032258065,0.13,,,,
123,1923,0.1816129032258065,0.16,,,,
124,1924,0.5316129032258066,0.19,,,,
125,1925,0.4316129032258065,0.23,,,,
126,1926,0.5216129032258066,0.26,,,,
127,1927,-0.00838709677419347,0.28,,,,
128,1928,0.0216129032258065,0.29,,,,
129,1929,-0.20838709677419348,0.28,,,,
130,1930,0.4016129032258065,0.28,,,,
131,1931,0.7916129032258066,0.28,,,,
132,1932,0.4816129032258065,0.29,,,,
133,1933,0.2416129032258065,0.31,,,,
134,1934,0.10161290322580652,0.35,,,,
135,1935,0.2616129032258065,0.39,,,,
136,1936,0.03161290322580651,0.42,,,,
137,1937,0.8416129032258065,0.44,,,,
138,1938,0.4616129032258065,0.46,,,,
139,1939,0.37161290322580653,0.47,,,,
140,1940,0.6616129032258065,0.49,,,,
141,1941,1.0716129032258066,0.5,,,,
142,1942,0.7716129032258066,0.51,,,,
143,1943,-0.00838709677419347,0.51,,,,
144,1944,0.5616129032258065,0.5,,,,
145,1945,0.4016129032258065,0.48,,,,
146,1946,0.3516129032258065,0.45,,,,
147,1947,0.6716129032258065,0.41,,,,
148,1948,0.2716129032258065,0.37,,,,
149,1949,0.6416129032258064,0.35,,,,
150,1950,-0.18838709677419346,0.32,,,,
151,1951,0.5716129032258065,0.31,,,,
152,1952,0.011612903225806492,0.3,,,,
153,1953,0.2216129032258065,0.3,,,,
154,1954,-0.048387096774193505,0.3,,,,
155,1955,0.5316129032258066,0.3,,,,
156,1956,0.25161290322580654,0.32,,,,
157,1957,0.06161290322580648,0.33,,,,
158,1958,0.7216129032258065,0.35,,,,
159,1959,0.5516129032258065,0.37,,,,
160,1960,0.3816129032258065,0.39,,,,
161,1961,0.3216129032258065,0.4,,,,
162,1962,0.3616129032258065,0.41,,,,
163,1963,0.6616129032258065,0.42,,,,
164,1964,0.4216129032258065,0.43,,,,
165,1965,0.0016129032258064835,0.44,,,,
166,1966,0.7116129032258065,0.44,,,,
167,1967,0.07161290322580649,0.44,,,,
168,1968,0.3616129032258065,0.44,,,,
169,1969,0.9816129032258065,0.43,,,,
170,1970,0.7116129032258065,0.43,,,,
171,1971,0.3516129032258065,0.43,,,,
172,1972,0.37161290322580653,0.45,,,,
173,1973,0.6316129032258065,0.48,,,,
174,1974,-0.11838709677419351,0.52,,,,
175,1975,-0.00838709677419347,0.55,,,,
176,1976,-0.30838709677419346,0.58,,,,
177,1977,0.6716129032258065,0.61,,,,
178,1978,0.7216129032258065,0.64,,,,
179,1979,0.8516129032258065,0.68,,,,
180,1980,1.0816129032258066,0.73,,,,
181,1981,0.8116129032258065,0.77,,,,
182,1982,0.3416129032258065,0.8,,,,
183,1983,1.2416129032258065,0.82,,,,
184,1984,0.8716129032258064,0.83,,,,
185,1985,0.7616129032258065,0.84,,,,
186,1986,0.49161290322580653,0.85,,,,
187,1987,1.6716129032258065,0.85,,,,
188,1988,0.8316129032258065,0.86,,,,
189,1989,0.7816129032258066,0.88,,,,
190,1990,1.2216129032258065,0.9,,,,
191,1991,0.9416129032258065,0.93,,,,
192,1992,0.5316129032258066,0.97,,,,
193,1993,1.1216129032258064,1.01,,,,
194,1994,0.5616129032258065,1.04,,,,
195,1995,1.0816129032258066,1.07,,,,
196,1996,1.5216129032258066,1.1,,,,
197,1997,1.1416129032258064,1.14,,,,
198,1998,1.6016129032258064,1.19,,,,
199,1999,0.7616129032258065,1.24,,,,
200,2000,1.0916129032258064,1.28,,,,
201,2001,1.1916129032258065,1.31,,,,
202,2002,1.5216129032258066,1.32,,,,
203,2003,1.4616129032258065,1.33,,,,
204,2004,1.6016129032258064,1.34,,,,
205,2005,1.6016129032258064,1.35,1.16,1.13,1.14,1.13
206,2006,1.2716129032258066,1.36,1.19,1.17,1.18,1.17
207,2007,1.1716129032258065,1.36,1.23,1.21,1.22,1.21
208,2008,0.9916129032258065,1.36,1.26,1.25,1.26,1.25
209,2009,1.4516129032258065,1.35,1.3,1.29,1.3,1.29
210,2010,2.1616129032258065,1.35,1.33,1.33,1.33,1.33
211,2011,1.4616129032258065,1.35,1.36,1.37,1.37,1.37
212,2012,1.0116129032258065,1.36,1.4,1.41,1.41,1.4
213,2013,1.4316129032258065,1.39,1.43,1.44,1.45,1.44
214,2014,1.2916129032258066,1.41,1.46,1.48,1.48,1.48
215,2015,1.2516129032258065,1.44,1.5,1.51,1.51,1.51
216,2016,1.7016129032258065,1.47,1.53,1.55,1.55,1.54
217,2017,1.6516129032258065,1.49,1.57,1.58,1.58,1.58
218,2018,1.3616129032258064,1.52,1.61,1.62,1.61,1.62
219,2019,1.4516129032258065,1.55,1.65,1.66,1.64,1.66
220,2020,1.7116129032258065,1.58,1.7,1.7,1.67,1.7
221,2021,,,1.74,1.74,1.71,1.75
222,2022,,,1.79,1.78,1.75,1.8
223,2023,,,1.84,1.82,1.79,1.85
