France,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.35516129032258065,0.42,,,,
1,1801,0.4551612903225807,0.34,,,,
2,1802,0.30516129032258066,0.25,,,,
3,1803,-0.12483870967741933,0.17,,,,
4,1804,0.4751612903225807,0.09,,,,
5,1805,-0.9048387096774193,0.01,,,,
6,1806,0.7051612903225807,-0.07,,,,
7,1807,0.06516129032258067,-0.15,,,,
8,1808,-0.8348387096774192,-0.23,,,,
9,1809,-0.4148387096774193,-0.31,,,,
10,1810,-0.3748387096774194,-0.37,,,,
11,1811,0.7551612903225806,-0.4,,,,
12,1812,-0.9748387096774194,-0.41,,,,
13,1813,-0.6348387096774193,-0.4,,,,
14,1814,-1.1348387096774193,-0.38,,,,
15,1815,-0.3648387096774194,-0.35,,,,
16,1816,-1.4248387096774193,-0.31,,,,
17,1817,-0.24483870967741939,-0.25,,,,
18,1818,0.3251612903225807,-0.19,,,,
19,1819,0.3351612903225807,-0.12,,,,
20,1820,-0.5248387096774193,-0.05,,,,
21,1821,0.25516129032258067,0.03,,,,
22,1822,1.1451612903225805,0.09,,,,
23,1823,-0.3848387096774193,0.13,,,,
24,1824,0.18516129032258066,0.15,,,,
25,1825,0.5651612903225807,0.16,,,,
26,1826,0.30516129032258066,0.16,,,,
27,1827,-0.10483870967741932,0.16,,,,
28,1828,0.7951612903225806,0.16,,,,
29,1829,-1.1948387096774193,0.14,,,,
30,1830,-0.3648387096774194,0.11,,,,
31,1831,0.5651612903225807,0.07,,,,
32,1832,-0.0048387096774193394,0.03,,,,
33,1833,0.10516129032258065,-0.02,,,,
34,1834,1.1551612903225807,-0.06,,,,
35,1835,-0.20483870967741935,-0.09,,,,
36,1836,-0.12483870967741933,-0.11,,,,
37,1837,-0.5448387096774193,-0.14,,,,
38,1838,-0.7248387096774194,-0.17,,,,
39,1839,0.04516129032258065,-0.19,,,,
40,1840,-0.47483870967741937,-0.21,,,,
41,1841,0.015161290322580678,-0.21,,,,
42,1842,-0.24483870967741939,-0.21,,,,
