Iraq,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.3325806451612903,-1.33,,,,
10,1810,-1.2725806451612902,-1.27,,,,
11,1811,-1.4425806451612901,-1.22,,,,
12,1812,-1.1725806451612901,-1.16,,,,
13,1813,-0.9325806451612902,-1.11,,,,
14,1814,-0.5525806451612902,-1.05,,,,
15,1815,-1.07258064516129,-0.99,,,,
16,1816,,,,,,
17,1817,-1.1425806451612903,-0.87,,,,
18,1818,,,,,,
19,1819,-0.8725806451612902,-0.75,,,,
20,1820,-0.8025806451612901,-0.69,,,,
21,1821,-0.5125806451612902,-0.64,,,,
22,1822,-0.9125806451612902,-0.58,,,,
23,1823,-0.3625806451612902,-0.53,,,,
24,1824,0.2874193548387098,-0.48,,,,
25,1825,-0.4825806451612902,-0.45,,,,
26,1826,-0.3825806451612902,-0.44,,,,
27,1827,0.45741935483870977,-0.44,,,,
28,1828,-0.4825806451612902,-0.42,,,,
29,1829,-0.4125806451612902,-0.45,,,,
30,1830,-0.03258064516129022,-0.5,,,,
31,1831,-0.7325806451612903,-0.55,,,,
32,1832,-1.4725806451612904,-0.61,,,,
33,1833,-0.5025806451612902,-0.67,,,,
34,1834,-0.6225806451612902,-0.73,,,,
35,1835,-0.9725806451612903,-0.77,,,,
36,1836,-0.7425806451612903,-0.79,,,,
37,1837,-0.9325806451612902,-0.79,,,,
38,1838,-1.0825806451612903,-0.78,,,,
39,1839,-0.8725806451612902,-0.74,,,,
40,1840,-0.8925806451612902,-0.7,,,,
41,1841,-0.8525806451612902,-0.65,,,,
42,1842,-0.3625806451612902,-0.58,,,,
43,1843,-0.34258064516129016,-0.51,,,,
44,1844,-0.5525806451612902,-0.44,,,,
45,1845,-0.5025806451612902,-0.37,,,,
46,1846,0.11741935483870977,-0.29,,,,
47,1847,-0.22258064516129017,-0.23,,,,
48,1848,-0.15258064516129022,-0.18,,,,
49,1849,-0.012580645161290205,-0.14,,,,
50,1850,-0.5825806451612903,-0.12,,,,
51,1851,0.3374193548387098,-0.11,,,,
52,1852,-0.022580645161290214,-0.1,,,,
53,1853,0.31741935483870976,-0.1,,,,
54,1854,-0.4125806451612902,-0.09,,,,
55,1855,0.14741935483870977,-0.1,,,,
56,1856,-0.32258064516129026,-0.12,,,,
57,1857,-0.7625806451612903,-0.14,,,,
58,1858,0.06741935483870976,-0.16,,,,
59,1859,0.1674193548387098,-0.17,,,,
60,1860,0.2874193548387098,-0.16,,,,
61,1861,-0.6725806451612902,-0.15,,,,
62,1862,-0.7925806451612901,-0.12,,,,
63,1863,-0.4925806451612902,-0.09,,,,
64,1864,0.09741935483870978,-0.07,,,,
65,1865,0.2874193548387098,-0.04,,,,
66,1866,0.017419354838709766,-0.02,,,,
67,1867,0.06741935483870976,0.01,,,,
68,1868,0.04741935483870979,0.05,,,,
69,1869,0.4174193548387098,0.08,,,,
70,1870,0.10741935483870979,0.1,,,,
71,1871,-0.2725806451612902,0.12,,,,
72,1872,0.1974193548387098,0.15,,,,
73,1873,0.4074193548387098,0.18,,,,
74,1874,-0.12258064516129019,0.2,,,,
75,1875,-0.46258064516129027,0.19,,,,
76,1876,0.44741935483870976,0.18,,,,
77,1877,0.7874193548387098,0.15,,,,
78,1878,0.6374193548387097,0.12,,,,
79,1879,0.6874193548387098,0.09,,,,
80,1880,-0.6125806451612902,0.05,,,,
81,1881,0.1674193548387098,0.02,,,,
82,1882,-0.5825806451612903,-0.01,,,,
83,1883,-0.002580645161290196,-0.05,,,,
84,1884,-0.5525806451612902,-0.09,,,,
85,1885,-0.10258064516129023,-0.11,,,,
86,1886,-0.5725806451612903,-0.12,,,,
87,1887,-0.05258064516129024,-0.11,,,,
88,1888,0.3474193548387098,-0.11,,,,
89,1889,0.31741935483870976,-0.12,,,,
90,1890,-0.30258064516129024,-0.14,,,,
91,1891,0.007419354838709757,-0.16,,,,
92,1892,0.17741935483870977,-0.19,,,,
93,1893,-0.17258064516129024,-0.21,,,,
94,1894,-0.7525806451612903,-0.23,,,,
95,1895,-0.3725806451612902,-0.24,,,,
96,1896,-0.6725806451612902,-0.23,,,,
97,1897,-0.4925806451612902,-0.22,,,,
98,1898,-0.5625806451612902,-0.21,,,,
99,1899,0.2774193548387098,-0.21,,,,
100,1900,0.14741935483870977,-0.2,,,,
101,1901,1.11741935483871,-0.19,,,,
102,1902,0.5774193548387098,-0.17,,,,
103,1903,-0.3825806451612902,-0.15,,,,
104,1904,-0.21258064516129027,-0.14,,,,
105,1905,-0.4025806451612902,-0.15,,,,
106,1906,-0.17258064516129024,-0.17,,,,
