Jamaica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2525806451612903,0.28,,,,
1,1801,0.47741935483870973,0.27,,,,
2,1802,,,,,,
3,1803,0.32741935483870976,0.26,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,0.17741935483870974,0.3,,,,
25,1825,-0.05258064516129024,0.22,,,,
26,1826,0.2774193548387097,0.15,,,,
27,1827,0.6674193548387097,0.08,,,,
28,1828,0.2774193548387097,0.0,,,,
29,1829,-0.33258064516129027,-0.07,,,,
30,1830,0.2574193548387097,-0.14,,,,
31,1831,-0.3825806451612903,-0.21,,,,
32,1832,-0.6525806451612902,-0.29,,,,
33,1833,-0.2525806451612903,-0.36,,,,
34,1834,-0.2425806451612903,-0.42,,,,
35,1835,-0.9825806451612903,-0.47,,,,
36,1836,-0.6625806451612902,-0.5,,,,
37,1837,-0.7925806451612903,-0.51,,,,
38,1838,-0.6725806451612902,-0.52,,,,
39,1839,-0.43258064516129024,-0.52,,,,
40,1840,-0.3725806451612903,-0.49,,,,
41,1841,-0.7325806451612903,-0.46,,,,
42,1842,-0.31258064516129025,-0.41,,,,
43,1843,-0.17258064516129024,-0.35,,,,
44,1844,-0.9325806451612902,-0.29,,,,
45,1845,-0.8425806451612902,-0.24,,,,
46,1846,0.04741935483870974,-0.2,,,,
47,1847,-0.19258064516129025,-0.16,,,,
48,1848,-0.10258064516129028,-0.12,,,,
49,1849,0.18741935483870975,-0.09,,,,
50,1850,0.057419354838709746,-0.06,,,,
51,1851,0.11741935483870974,-0.05,,,,
52,1852,-0.2325806451612903,-0.05,,,,
53,1853,-0.022580645161290325,-0.07,,,,
54,1854,-0.10258064516129028,-0.09,,,,
55,1855,0.057419354838709746,-0.11,,,,
56,1856,0.5274193548387097,-0.13,,,,
57,1857,-0.6125806451612902,-0.15,,,,
58,1858,-0.4025806451612902,-0.16,,,,
59,1859,-0.2425806451612903,-0.18,,,,
60,1860,-0.19258064516129025,-0.2,,,,
61,1861,0.04741935483870974,-0.21,,,,
62,1862,-0.20258064516129026,-0.21,,,,
63,1863,-0.20258064516129026,-0.2,,,,
64,1864,-0.4825806451612903,-0.18,,,,
65,1865,-0.002580645161290307,-0.16,,,,
66,1866,-0.6325806451612902,-0.14,,,,
67,1867,-0.18258064516129024,-0.13,,,,
68,1868,0.1974193548387097,-0.12,,,,
69,1869,0.7774193548387097,-0.09,,,,
70,1870,-0.15258064516129022,-0.06,,,,
71,1871,-0.09258064516129028,-0.02,,,,
72,1872,0.31741935483870976,0.02,,,,
73,1873,-0.4125806451612902,0.05,,,,
74,1874,-0.08258064516129027,0.07,,,,
75,1875,0.11741935483870974,0.08,,,,
76,1876,0.31741935483870976,0.07,,,,
77,1877,0.41741935483870973,0.07,,,,
78,1878,0.9674193548387098,0.06,,,,
79,1879,0.21741935483870972,0.05,,,,
80,1880,0.11741935483870974,0.03,,,,
81,1881,-0.2725806451612903,0.01,,,,
82,1882,-0.3825806451612903,-0.02,,,,
83,1883,0.24741935483870975,-0.05,,,,
84,1884,-0.32258064516129026,-0.07,,,,
85,1885,-0.1125806451612903,-0.09,,,,
86,1886,-0.10258064516129028,-0.09,,,,
87,1887,-0.33258064516129027,-0.1,,,,
88,1888,0.007419354838709702,-0.1,,,,
89,1889,0.28741935483870973,-0.1,,,,
90,1890,-0.20258064516129026,-0.1,,,,
91,1891,0.24741935483870975,-0.08,,,,
92,1892,-0.21258064516129027,-0.05,,,,
93,1893,-0.33258064516129027,-0.02,,,,
94,1894,-0.33258064516129027,0.0,,,,
95,1895,-0.1325806451612903,0.03,,,,
96,1896,0.10741935483870974,0.05,,,,
97,1897,0.4674193548387097,0.07,,,,
98,1898,0.18741935483870975,0.1,,,,
