Maldives,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11035714285714282,0.6,,,,
1,1801,0.45964285714285713,0.52,,,,
2,1802,0.48964285714285716,0.43,,,,
3,1803,0.3296428571428571,0.34,,,,
4,1804,0.5496428571428571,0.26,,,,
5,1805,0.20964285714285716,0.18,,,,
6,1806,0.049642857142857155,0.1,,,,
7,1807,-0.18035714285714288,0.02,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.5403571428571429,-0.39,,,,
14,1814,-0.6603571428571429,-0.44,,,,
15,1815,-1.0403571428571428,-0.5,,,,
16,1816,-1.460357142857143,-0.54,,,,
17,1817,-1.1403571428571428,-0.56,,,,
18,1818,-0.3403571428571428,-0.54,,,,
19,1819,-0.8803571428571428,-0.49,,,,
20,1820,-0.6603571428571429,-0.45,,,,
21,1821,-0.29035714285714287,-0.41,,,,
22,1822,-0.4203571428571429,-0.36,,,,
23,1823,-0.3403571428571428,-0.3,,,,
24,1824,0.18964285714285714,-0.26,,,,
25,1825,-0.13035714285714284,-0.23,,,,
26,1826,0.08964285714285714,-0.22,,,,
27,1827,0.19964285714285715,-0.21,,,,
28,1828,-0.2003571428571429,-0.21,,,,
29,1829,-0.3403571428571428,-0.22,,,,
30,1830,-0.010357142857142843,-0.26,,,,
31,1831,-0.4403571428571429,-0.3,,,,
32,1832,-0.5303571428571429,-0.36,,,,
33,1833,-0.26035714285714284,-0.41,,,,
34,1834,-0.07035714285714284,-0.45,,,,
35,1835,-0.7203571428571429,-0.49,,,,
36,1836,-0.5503571428571429,-0.51,,,,
37,1837,-0.8203571428571428,-0.5,,,,
38,1838,-0.6203571428571428,-0.51,,,,
39,1839,-0.6203571428571428,-0.51,,,,
40,1840,-0.6303571428571428,-0.5,,,,
41,1841,-0.5903571428571428,-0.48,,,,
42,1842,-0.3403571428571428,-0.45,,,,
43,1843,-0.3603571428571428,-0.42,,,,
44,1844,-0.3503571428571428,-0.38,,,,
45,1845,-0.25035714285714283,-0.34,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,-0.2003571428571429,-0.23,,,,
49,1849,-0.23035714285714282,-0.21,,,,
50,1850,-0.3003571428571429,-0.18,,,,
51,1851,-0.10035714285714287,-0.17,,,,
52,1852,-0.10035714285714287,-0.16,,,,
53,1853,-0.010357142857142843,-0.15,,,,
54,1854,-0.02035714285714285,-0.14,,,,
55,1855,-0.06035714285714283,-0.13,,,,
56,1856,-0.27035714285714285,-0.12,,,,
57,1857,-0.4203571428571429,-0.1,,,,
58,1858,-0.00035714285714283367,-0.08,,,,
59,1859,0.01964285714285713,-0.05,,,,
60,1860,-0.17035714285714287,-0.01,,,,
61,1861,-0.38035714285714284,0.02,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.28964285714285715,0.07,,,,
66,1866,0.23964285714285716,0.09,,,,
67,1867,0.34964285714285714,0.1,,,,
68,1868,0.6596428571428572,0.12,,,,
69,1869,0.41964285714285715,0.12,,,,
70,1870,-0.08035714285714285,0.12,,,,
71,1871,-0.1903571428571429,0.1,,,,
72,1872,-0.10035714285714287,0.07,,,,
73,1873,-0.05035714285714282,0.04,,,,
74,1874,0.13964285714285715,0.01,,,,
75,1875,-0.18035714285714288,-0.0,,,,
76,1876,-0.04035714285714287,-0.01,,,,
77,1877,0.22964285714285715,-0.02,,,,
78,1878,0.40964285714285714,-0.03,,,,
79,1879,-0.12035714285714283,-0.05,,,,
80,1880,-0.16035714285714286,-0.07,,,,
81,1881,0.09964285714285714,-0.09,,,,
82,1882,-0.12035714285714283,-0.11,,,,
83,1883,-0.2003571428571429,-0.13,,,,
84,1884,-0.26035714285714284,-0.14,,,,
85,1885,-0.25035714285714283,-0.15,,,,
86,1886,-0.24035714285714282,-0.15,,,,
87,1887,-0.38035714285714284,-0.14,,,,
88,1888,0.01964285714285713,-0.13,,,,
89,1889,0.2596428571428572,-0.11,,,,
90,1890,-0.24035714285714282,-0.09,,,,
91,1891,-0.08035714285714285,-0.05,,,,
92,1892,-0.10035714285714287,-0.01,,,,
93,1893,-0.10035714285714287,0.02,,,,
94,1894,0.06964285714285717,0.06,,,,
95,1895,0.22964285714285715,0.1,,,,
96,1896,0.039642857142857146,0.14,,,,
97,1897,0.3296428571428571,0.17,,,,
98,1898,0.19964285714285715,0.2,,,,
99,1899,0.08964285714285714,0.23,,,,
100,1900,0.49964285714285717,0.24,,,,
101,1901,0.4496428571428571,0.24,,,,
102,1902,0.35964285714285715,0.24,,,,
103,1903,0.29964285714285716,0.23,,,,
104,1904,-0.04035714285714287,0.21,,,,
105,1905,0.24964285714285717,0.2,,,,
106,1906,0.29964285714285716,0.18,,,,
107,1907,-0.03035714285714286,0.17,,,,
108,1908,0.09964285714285714,0.16,,,,
109,1909,0.08964285714285714,0.16,,,,
110,1910,-0.05035714285714282,0.17,,,,
111,1911,0.17964285714285716,0.17,,,,
112,1912,0.20964285714285716,0.18,,,,
113,1913,0.17964285714285716,0.18,,,,
114,1914,0.5396428571428571,0.19,,,,
115,1915,0.5296428571428572,0.2,,,,
116,1916,0.13964285714285715,0.21,,,,
117,1917,-0.010357142857142843,0.2,,,,
118,1918,0.15964285714285714,0.2,,,,
119,1919,0.3296428571428571,0.19,,,,
120,1920,0.07964285714285713,0.18,,,,
121,1921,0.3296428571428571,0.17,,,,
122,1922,0.07964285714285713,0.17,,,,
123,1923,0.009642857142857175,0.17,,,,
124,1924,0.11964285714285716,0.17,,,,
125,1925,0.08964285714285714,0.18,,,,
126,1926,0.45964285714285713,0.18,,,,
127,1927,0.16964285714285715,0.17,,,,
128,1928,0.34964285714285714,0.17,,,,
129,1929,-0.03035714285714286,0.17,,,,
130,1930,0.23964285714285716,0.17,,,,
131,1931,0.36964285714285716,0.17,,,,
132,1932,0.06964285714285717,0.17,,,,
133,1933,-0.10035714285714287,0.18,,,,
134,1934,0.059642857142857164,0.19,,,,
135,1935,0.13964285714285715,0.2,,,,
136,1936,0.19964285714285715,0.22,,,,
137,1937,0.4496428571428571,0.23,,,,
138,1938,0.2596428571428572,0.24,,,,
139,1939,0.21964285714285714,0.24,,,,
140,1940,0.36964285714285716,0.26,,,,
141,1941,0.6996428571428572,0.26,,,,
142,1942,0.30964285714285716,0.27,,,,
143,1943,-0.03035714285714286,0.26,,,,
144,1944,0.15964285714285714,0.25,,,,
145,1945,0.15964285714285714,0.24,,,,
146,1946,0.33964285714285714,0.23,,,,
147,1947,0.3896428571428572,0.23,,,,
148,1948,0.24964285714285717,0.23,,,,
149,1949,0.14964285714285716,0.23,,,,
150,1950,-0.08035714285714285,0.23,,,,
151,1951,0.24964285714285717,0.23,,,,
152,1952,0.34964285714285714,0.23,,,,
153,1953,0.40964285714285714,0.24,,,,
154,1954,0.15964285714285714,0.25,,,,
155,1955,0.12964285714285714,0.26,,,,
156,1956,0.059642857142857164,0.28,,,,
157,1957,0.22964285714285715,0.29,,,,
158,1958,0.6096428571428572,0.31,,,,
159,1959,0.5396428571428571,0.32,,,,
160,1960,0.23964285714285716,0.34,,,,
161,1961,0.28964285714285715,0.35,,,,
162,1962,0.3296428571428571,0.37,,,,
163,1963,0.5096428571428572,0.38,,,,
164,1964,0.3296428571428571,0.39,,,,
165,1965,0.34964285714285714,0.39,,,,
166,1966,0.7096428571428571,0.39,,,,
167,1967,0.2596428571428572,0.39,,,,
168,1968,0.2696428571428572,0.39,,,,
169,1969,0.6696428571428572,0.39,,,,
170,1970,0.40964285714285714,0.38,,,,
171,1971,0.11964285714285716,0.37,,,,
172,1972,0.49964285714285717,0.37,,,,
173,1973,0.6896428571428572,0.37,,,,
174,1974,0.06964285714285717,0.38,,,,
175,1975,0.049642857142857155,0.39,,,,
176,1976,0.35964285714285715,0.41,,,,
177,1977,0.43964285714285717,0.43,,,,
178,1978,0.30964285714285716,0.45,,,,
179,1979,0.5396428571428571,0.48,,,,
180,1980,0.6596428571428572,0.51,,,,
181,1981,0.5596428571428571,0.54,,,,
182,1982,0.5896428571428571,0.58,,,,
183,1983,0.8996428571428572,0.61,,,,
184,1984,0.39964285714285713,0.64,,,,
185,1985,0.5196428571428572,0.66,,,,
186,1986,0.6396428571428572,0.68,,,,
187,1987,1.1196428571428572,0.69,,,,
188,1988,0.9396428571428571,0.7,,,,
189,1989,0.49964285714285717,0.71,,,,
190,1990,0.7496428571428572,0.73,,,,
191,1991,0.9396428571428571,0.75,,,,
192,1992,0.49964285714285717,0.77,,,,
193,1993,0.5496428571428571,0.78,,,,
194,1994,0.7996428571428571,0.79,,,,
195,1995,0.9596428571428571,0.8,,,,
196,1996,0.7096428571428571,0.81,,,,
197,1997,1.0696428571428571,0.83,,,,
198,1998,1.259642857142857,0.85,,,,
199,1999,0.6796428571428572,0.88,,,,
200,2000,0.7096428571428571,0.9,,,,
201,2001,0.8596428571428572,0.92,,,,
202,2002,0.9096428571428572,0.93,,,,
203,2003,1.0196428571428573,0.94,,,,
204,2004,0.8896428571428572,0.95,,,,
205,2005,1.3296428571428571,0.97,1.13,1.13,1.13,1.1
206,2006,0.9696428571428571,1.0,1.15,1.15,1.15,1.12
207,2007,1.059642857142857,1.03,1.17,1.17,1.17,1.14
208,2008,0.8696428571428572,1.07,1.19,1.19,1.19,1.17
209,2009,1.029642857142857,1.11,1.2,1.21,1.21,1.19
210,2010,1.0696428571428571,1.15,1.22,1.23,1.23,1.22
211,2011,1.029642857142857,1.19,1.24,1.25,1.25,1.24
212,2012,1.3196428571428571,1.24,1.27,1.27,1.27,1.27
213,2013,1.259642857142857,1.28,1.29,1.29,1.29,1.29
214,2014,1.3696428571428572,1.33,1.31,1.31,1.31,1.32
215,2015,1.529642857142857,1.39,1.33,1.33,1.33,1.34
216,2016,1.5696428571428571,1.44,1.35,1.35,1.35,1.36
217,2017,1.4696428571428573,1.49,1.37,1.37,1.37,1.39
218,2018,1.309642857142857,1.54,1.4,1.4,1.4,1.41
219,2019,1.5796428571428571,1.6,1.42,1.42,1.42,1.44
220,2020,1.6996428571428572,1.65,1.45,1.44,1.44,1.47
221,2021,,,1.48,1.47,1.47,1.5
222,2022,,,1.5,1.49,1.49,1.52
223,2023,,,1.53,1.52,1.52,1.55
224,2024,,,1.55,1.54,1.54,1.58
225,2025,,,1.58,1.57,1.57,1.61
226,2026,,,1.6,1.59,1.59,1.64
227,2027,,,1.62,1.62,1.62,1.67
228,2028,,,1.64,1.65,1.64,1.7
229,2029,,,1.66,1.67,1.67,1.72
230,2030,,,1.68,1.69,1.7,1.75
231,2031,,,1.7,1.72,1.72,1.78
232,2032,,,1.72,1.74,1.75,1.81
233,2033,,,1.74,1.77,1.78,1.85
234,2034,,,1.75,1.79,1.8,1.88
235,2035,,,1.77,1.81,1.83,1.91
236,2036,,,1.79,1.83,1.87,1.95
237,2037,,,1.81,1.85,1.9,1.98
238,2038,,,1.83,1.87,1.92,2.02
239,2039,,,1.84,1.89,1.95,2.06
240,2040,,,1.86,1.92,1.98,2.1
241,2041,,,1.87,1.94,2.01,2.14
242,2042,,,1.89,1.97,2.04,2.18
243,2043,,,1.9,1.99,2.08,2.22
244,2044,,,1.92,2.02,2.11,2.26
245,2045,,,1.93,2.04,2.14,2.3
246,2046,,,1.94,2.07,2.17,2.34
247,2047,,,1.95,2.1,2.21,2.39
248,2048,,,1.96,2.12,2.24,2.43
249,2049,,,1.97,2.15,2.27,2.47
250,2050,,,1.98,2.18,2.31,2.51
251,2051,,,1.99,2.2,2.34,2.56
252,2052,,,1.99,2.23,2.38,2.6
253,2053,,,2.0,2.25,2.41,2.65
254,2054,,,2.01,2.28,2.44,2.69
255,2055,,,2.02,2.3,2.48,2.74
256,2056,,,2.02,2.32,2.51,2.78
257,2057,,,2.03,2.34,2.55,2.83
258,2058,,,2.03,2.36,2.58,2.87
259,2059,,,2.04,2.38,2.62,2.92
260,2060,,,2.05,2.4,2.65,2.96
261,2061,,,2.05,2.42,2.69,3.01
262,2062,,,2.06,2.44,2.72,3.05
263,2063,,,2.06,2.45,2.76,3.1
264,2064,,,2.07,2.47,2.79,3.15
265,2065,,,2.07,2.49,2.82,3.19
266,2066,,,2.07,2.5,2.85,3.24
267,2067,,,2.07,2.52,2.88,3.29
268,2068,,,2.07,2.54,2.91,3.34
269,2069,,,2.07,2.56,2.94,3.39
270,2070,,,2.07,2.58,2.98,3.44
271,2071,,,2.07,2.6,3.01,3.49
272,2072,,,2.08,2.61,3.04,3.54
273,2073,,,2.08,2.63,3.08,3.59
274,2074,,,2.07,2.64,3.11,3.64
275,2075,,,2.07,2.66,3.15,3.69
276,2076,,,2.07,2.67,3.19,3.74
277,2077,,,2.08,2.69,3.23,3.8
278,2078,,,2.08,2.7,3.27,3.85
279,2079,,,2.08,2.71,3.31,3.9
280,2080,,,2.08,2.73,3.35,3.95
281,2081,,,2.09,2.74,3.39,4.0
282,2082,,,2.09,2.75,3.43,4.05
283,2083,,,2.08,2.76,3.47,4.11
284,2084,,,2.08,2.78,3.51,4.16
285,2085,,,2.08,2.79,3.55,4.21
286,2086,,,2.08,2.8,3.58,4.25
287,2087,,,2.07,2.81,3.62,4.3
288,2088,,,2.07,2.83,3.65,4.35
289,2089,,,2.06,2.84,3.69,4.41
290,2090,,,2.05,2.85,3.72,4.46
291,2091,,,2.04,2.86,3.76,4.51
292,2092,,,2.04,2.86,3.8,4.56
293,2093,,,2.04,2.87,3.83,4.61
294,2094,,,2.04,2.88,3.87,4.67
295,2095,,,2.03,2.89,3.91,4.72
296,2096,,,2.03,2.9,3.95,4.77
297,2097,,,2.03,2.91,3.98,4.82
298,2098,,,2.03,2.92,4.02,4.88
299,2099,,,2.02,2.93,4.06,4.93
300,2100,,,2.02,2.94,4.1,4.98
