Malawi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,-0.06466666666666665,-0.1,,,,
61,1861,-0.19466666666666665,-0.1,,,,
62,1862,-0.4846666666666668,-0.09,,,,
63,1863,0.03533333333333333,-0.09,,,,
64,1864,-0.07466666666666666,-0.08,,,,
65,1865,0.22533333333333333,-0.08,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.03533333333333333,-0.04,,,,
83,1883,0.06533333333333335,-0.02,,,,
84,1884,-0.16466666666666674,-0.0,,,,
85,1885,0.005333333333333301,0.02,,,,
86,1886,0.04533333333333334,0.03,,,,
87,1887,-0.1346666666666667,0.05,,,,
88,1888,0.1953333333333333,0.07,,,,
89,1889,0.5953333333333333,0.09,,,,
90,1890,-0.08466666666666667,0.11,,,,
91,1891,-0.04466666666666674,0.14,,,,
92,1892,0.3253333333333333,0.17,,,,
93,1893,-0.014666666666666717,0.2,,,,
94,1894,0.2053333333333333,0.22,,,,
95,1895,0.2953333333333333,0.24,,,,
96,1896,0.4553333333333333,0.27,,,,
97,1897,0.41533333333333333,0.29,,,,
98,1898,0.22533333333333333,0.31,,,,
99,1899,0.1253333333333333,0.32,,,,
100,1900,0.9553333333333334,0.32,,,,
101,1901,0.2053333333333333,0.31,,,,
102,1902,0.6253333333333333,0.3,,,,
103,1903,0.5053333333333333,0.29,,,,
104,1904,-0.3446666666666667,0.27,,,,
105,1905,0.3353333333333333,0.26,,,,
106,1906,0.08533333333333326,0.25,,,,
107,1907,-0.3646666666666667,0.24,,,,
108,1908,0.46533333333333327,0.23,,,,
109,1909,0.3953333333333333,0.24,,,,
110,1910,-0.2446666666666667,0.26,,,,
111,1911,-0.2646666666666667,0.28,,,,
112,1912,0.4553333333333333,0.31,,,,
113,1913,0.2053333333333333,0.34,,,,
114,1914,0.5353333333333333,0.37,,,,
115,1915,0.7153333333333333,0.4,,,,
116,1916,0.3353333333333333,0.45,,,,
117,1917,0.4453333333333333,0.49,,,,
118,1918,0.3053333333333333,0.54,,,,
119,1919,0.6953333333333334,0.57,,,,
120,1920,0.6153333333333333,0.59,,,,
121,1921,0.46533333333333327,0.59,,,,
122,1922,1.0453333333333332,0.59,,,,
123,1923,0.8553333333333333,0.59,,,,
124,1924,0.8153333333333332,0.59,,,,
125,1925,0.4953333333333333,0.58,,,,
126,1926,0.5553333333333333,0.57,,,,
127,1927,0.23533333333333328,0.55,,,,
128,1928,0.4753333333333333,0.52,,,,
129,1929,0.5653333333333332,0.48,,,,
130,1930,0.23533333333333328,0.45,,,,
131,1931,0.7453333333333333,0.43,,,,
132,1932,0.5153333333333333,0.42,,,,
133,1933,0.3153333333333333,0.42,,,,
134,1934,0.4353333333333333,0.42,,,,
135,1935,0.14533333333333331,0.43,,,,
136,1936,0.11533333333333329,0.44,,,,
137,1937,0.5453333333333333,0.46,,,,
138,1938,0.6753333333333333,0.47,,,,
139,1939,0.2453333333333333,0.48,,,,
140,1940,0.4953333333333333,0.5,,,,
141,1941,0.9153333333333333,0.51,,,,
142,1942,0.7953333333333333,0.53,,,,
143,1943,0.4553333333333333,0.54,,,,
144,1944,0.6353333333333333,0.55,,,,
