Botswana,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.38,-0.2,,,,
58,1858,-0.040000000000000036,-0.16,,,,
59,1859,0.08999999999999997,-0.13,,,,
60,1860,-0.13,-0.1,,,,
61,1861,-0.17000000000000004,-0.07,,,,
62,1862,-0.4,-0.05,,,,
63,1863,-0.07000000000000006,-0.02,,,,
64,1864,-0.050000000000000044,0.01,,,,
65,1865,0.36,0.03,,,,
66,1866,0.3,0.05,,,,
67,1867,0.35,0.07,,,,
68,1868,-0.020000000000000018,0.08,,,,
69,1869,0.32999999999999996,0.09,,,,
70,1870,-0.030000000000000027,0.09,,,,
71,1871,-0.010000000000000009,0.09,,,,
72,1872,0.010000000000000009,0.07,,,,
73,1873,,,,,,
74,1874,0.13,0.02,,,,
75,1875,-0.19000000000000006,-0.0,,,,
76,1876,-0.08999999999999997,-0.03,,,,
77,1877,0.35,-0.04,,,,
78,1878,0.38,-0.05,,,,
79,1879,-0.27,-0.06,,,,
80,1880,-0.44999999999999996,-0.06,,,,
81,1881,-0.29000000000000004,-0.06,,,,
82,1882,-0.10999999999999999,-0.06,,,,
83,1883,-0.050000000000000044,-0.06,,,,
84,1884,-0.22999999999999998,-0.06,,,,
85,1885,0.15999999999999998,-0.06,,,,
86,1886,0.3,-0.05,,,,
87,1887,-0.14,-0.04,,,,
88,1888,-0.07999999999999996,-0.03,,,,
89,1889,0.52,-0.01,,,,
90,1890,-0.32000000000000006,0.01,,,,
91,1891,-0.06000000000000005,0.02,,,,
92,1892,-0.20999999999999996,0.04,,,,
93,1893,0.0,0.05,,,,
94,1894,-0.030000000000000027,0.07,,,,
95,1895,0.08000000000000002,0.08,,,,
96,1896,0.51,0.09,,,,
97,1897,0.3,0.09,,,,
98,1898,-0.32999999999999996,0.09,,,,
99,1899,0.32999999999999996,0.08,,,,
100,1900,0.65,0.06,,,,
101,1901,0.14999999999999997,0.04,,,,
102,1902,0.02999999999999997,0.02,,,,
103,1903,-0.06000000000000005,-0.0,,,,
104,1904,-0.48,-0.02,,,,
105,1905,-0.010000000000000009,-0.03,,,,
106,1906,-0.42000000000000004,-0.03,,,,
107,1907,-0.44999999999999996,-0.02,,,,
108,1908,0.12,0.01,,,,
109,1909,0.08999999999999997,0.05,,,,
110,1910,-0.10999999999999999,0.09,,,,
111,1911,-0.07999999999999996,0.13,,,,
112,1912,0.33999999999999997,0.18,,,,
113,1913,0.58,0.22,,,,
114,1914,0.76,0.26,,,,
115,1915,0.37,0.3,,,,
116,1916,0.48,0.33,,,,
117,1917,0.15999999999999998,0.36,,,,
118,1918,-0.20999999999999996,0.38,,,,
119,1919,0.36,0.39,,,,
120,1920,0.56,0.4,,,,
121,1921,0.18,0.4,,,,
122,1922,1.04,0.41,,,,
123,1923,0.6,0.43,,,,
124,1924,0.31,0.45,,,,
125,1925,-0.020000000000000018,0.46,,,,
126,1926,0.61,0.46,,,,
127,1927,0.59,0.46,,,,
128,1928,0.63,0.44,,,,
129,1929,0.77,0.42,,,,
130,1930,0.14999999999999997,0.39,,,,
131,1931,0.5,0.37,,,,
132,1932,0.22999999999999998,0.34,,,,
133,1933,0.5,0.32,,,,
134,1934,0.35,0.31,,,,
135,1935,-0.07000000000000006,0.3,,,,
136,1936,0.03999999999999998,0.31,,,,
137,1937,-0.040000000000000036,0.32,,,,
138,1938,0.42,0.33,,,,
139,1939,-0.28,0.35,,,,
140,1940,0.52,0.38,,,,
141,1941,1.05,0.41,,,,
142,1942,0.87,0.44,,,,
143,1943,0.37,0.48,,,,
