Colombia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,0.03806451612903239,-0.03,,,,
25,1825,-0.011935483870967656,-0.04,,,,
26,1826,0.01806451612903237,-0.06,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,-0.15193548387096767,-0.14,,,,
35,1835,-0.8119354838709676,-0.15,,,,
36,1836,,,,,,
37,1837,-0.8219354838709676,-0.18,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.26806451612903237,-0.27,,,,
47,1847,-0.2919354838709677,-0.24,,,,
48,1848,-0.3019354838709677,-0.21,,,,
49,1849,-0.27193548387096766,-0.2,,,,
50,1850,-0.27193548387096766,-0.19,,,,
51,1851,-0.10193548387096762,-0.18,,,,
52,1852,-0.27193548387096766,-0.17,,,,
53,1853,-0.13193548387096765,-0.17,,,,
54,1854,-0.08193548387096761,-0.16,,,,
55,1855,-0.001935483870967647,-0.16,,,,
56,1856,0.14806451612903238,-0.16,,,,
57,1857,-0.49193548387096775,-0.16,,,,
58,1858,-0.1719354838709677,-0.16,,,,
59,1859,-0.10193548387096762,-0.16,,,,
60,1860,-0.2019354838709676,-0.16,,,,
61,1861,-0.22193548387096762,-0.15,,,,
62,1862,-0.4619354838709677,-0.14,,,,
63,1863,-0.14193548387096766,-0.11,,,,
64,1864,-0.11193548387096763,-0.08,,,,
65,1865,0.01806451612903237,-0.05,,,,
66,1866,-0.13193548387096765,-0.03,,,,
67,1867,0.18806451612903236,-0.0,,,,
68,1868,0.12806451612903236,0.02,,,,
69,1869,0.6680645161290324,0.05,,,,
70,1870,0.008064516129032362,0.07,,,,
71,1871,-0.14193548387096766,0.08,,,,
72,1872,0.24806451612903235,0.09,,,,
73,1873,0.07806451612903231,0.1,,,,
74,1874,0.07806451612903231,0.09,,,,
75,1875,-0.10193548387096762,0.08,,,,
76,1876,0.20806451612903237,0.06,,,,
77,1877,0.5680645161290323,0.03,,,,
78,1878,1.0380645161290323,0.01,,,,
79,1879,0.08806451612903232,-0.01,,,,
80,1880,-0.3219354838709676,-0.03,,,,
81,1881,0.19806451612903236,-0.05,,,,
82,1882,-0.22193548387096762,-0.07,,,,
83,1883,-0.3319354838709676,-0.09,,,,
84,1884,-0.3219354838709676,-0.1,,,,
85,1885,-0.021935483870967665,-0.11,,,,
86,1886,-0.011935483870967656,-0.11,,,,
87,1887,-0.22193548387096762,-0.1,,,,
88,1888,0.01806451612903237,-0.1,,,,
89,1889,0.49806451612903235,-0.08,,,,
90,1890,-0.4419354838709677,-0.05,,,,
91,1891,0.18806451612903236,-0.02,,,,
92,1892,-0.16193548387096768,0.01,,,,
93,1893,-0.4419354838709677,0.05,,,,
94,1894,-0.26193548387096766,0.09,,,,
95,1895,0.25806451612903236,0.13,,,,
96,1896,0.37806451612903236,0.17,,,,
97,1897,0.42806451612903235,0.21,,,,
98,1898,0.058064516129032406,0.24,,,,
99,1899,0.44806451612903236,0.27,,,,
100,1900,0.8080645161290323,0.28,,,,
101,1901,0.3380645161290324,0.28,,,,
102,1902,0.34806451612903233,0.26,,,,
103,1903,0.32806451612903237,0.23,,,,
104,1904,-0.09193548387096762,0.19,,,,
105,1905,0.31806451612903236,0.15,,,,
106,1906,0.22806451612903234,0.11,,,,
107,1907,-0.10193548387096762,0.08,,,,
108,1908,-0.0719354838709676,0.07,,,,
109,1909,-0.1719354838709677,0.06,,,,
110,1910,-0.27193548387096766,0.06,,,,
111,1911,0.02806451612903238,0.05,,,,
112,1912,0.3980645161290324,0.05,,,,
113,1913,-0.011935483870967656,0.05,,,,
114,1914,0.4580645161290323,0.06,,,,
115,1915,0.5880645161290323,0.07,,,,
116,1916,-0.10193548387096762,0.09,,,,
117,1917,-0.5819354838709676,0.09,,,,
118,1918,-0.2119354838709676,0.09,,,,
119,1919,0.2780645161290324,0.09,,,,
120,1920,0.11806451612903235,0.09,,,,
121,1921,0.008064516129032362,0.1,,,,
122,1922,0.14806451612903238,0.11,,,,
123,1923,0.03806451612903239,0.14,,,,
124,1924,0.10806451612903234,0.16,,,,
