Russia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.4016129032258064,0.28,,,,
1,1801,0.5183870967741936,0.18,,,,
2,1802,0.19838709677419358,0.08,,,,
3,1803,-0.18161290322580642,-0.02,,,,
4,1804,-0.07161290322580638,-0.12,,,,
5,1805,-0.02161290322580639,-0.22,,,,
6,1806,0.3083870967741936,-0.31,,,,
7,1807,0.01838709677419359,-0.4,,,,
8,1808,-0.5816129032258064,-0.5,,,,
9,1809,-1.6816129032258065,-0.59,,,,
10,1810,-1.7116129032258063,-0.67,,,,
11,1811,-1.1016129032258064,-0.74,,,,
12,1812,-1.1016129032258064,-0.79,,,,
13,1813,-0.4216129032258064,-0.83,,,,
14,1814,-0.9916129032258065,-0.83,,,,
15,1815,-0.8516129032258064,-0.8,,,,
16,1816,-0.9616129032258065,-0.74,,,,
17,1817,-1.2416129032258065,-0.65,,,,
18,1818,0.2283870967741936,-0.55,,,,
19,1819,-1.1316129032258064,-0.46,,,,
20,1820,-0.47161290322580646,-0.37,,,,
21,1821,-0.02161290322580639,-0.29,,,,
22,1822,0.1583870967741936,-0.22,,,,
23,1823,-0.32161290322580643,-0.16,,,,
24,1824,0.2683870967741936,-0.12,,,,
25,1825,0.0983870967741936,-0.11,,,,
26,1826,0.4583870967741936,-0.1,,,,
27,1827,0.6683870967741936,-0.11,,,,
28,1828,-0.5716129032258064,-0.12,,,,
29,1829,-0.5816129032258064,-0.15,,,,
30,1830,0.2183870967741936,-0.19,,,,
31,1831,-0.7016129032258065,-0.23,,,,
32,1832,-0.7816129032258066,-0.27,,,,
33,1833,-0.21161290322580645,-0.32,,,,
34,1834,0.2083870967741936,-0.36,,,,
35,1835,-0.6316129032258064,-0.38,,,,
36,1836,-0.02161290322580639,-0.38,,,,
37,1837,-0.8316129032258064,-0.36,,,,
38,1838,-0.32161290322580643,-0.35,,,,
39,1839,-0.48161290322580635,-0.32,,,,
40,1840,-0.5316129032258063,-0.29,,,,
41,1841,-0.7216129032258065,-0.25,,,,
42,1842,-0.14161290322580639,-0.21,,,,
43,1843,0.7183870967741937,-0.17,,,,
44,1844,-0.35161290322580635,-0.12,,,,
45,1845,-0.3016129032258064,-0.07,,,,
46,1846,0.2883870967741936,-0.03,,,,
47,1847,0.048387096774193616,0.01,,,,
48,1848,0.3483870967741936,0.04,,,,
49,1849,0.3783870967741936,0.06,,,,
50,1850,-0.3816129032258064,0.06,,,,
51,1851,0.36838709677419357,0.06,,,,
52,1852,-0.05161290322580642,0.06,,,,
53,1853,-0.24161290322580636,0.04,,,,
54,1854,0.3483870967741936,0.02,,,,
55,1855,0.2183870967741936,-0.02,,,,
56,1856,-0.1616129032258064,-0.04,,,,
57,1857,-0.5716129032258064,-0.06,,,,
58,1858,0.2883870967741936,-0.07,,,,
59,1859,0.6583870967741936,-0.06,,,,
60,1860,-0.7516129032258065,-0.05,,,,
61,1861,-0.45161290322580644,-0.03,,,,
62,1862,-1.1316129032258064,-0.01,,,,
63,1863,0.5183870967741936,-0.0,,,,
64,1864,-0.14161290322580639,-0.0,,,,
65,1865,-0.05161290322580642,-0.0,,,,
66,1866,0.6083870967741936,0.0,,,,
67,1867,0.3883870967741936,0.01,,,,
68,1868,0.1283870967741936,0.02,,,,
69,1869,0.5783870967741935,0.03,,,,
70,1870,-0.5416129032258064,0.04,,,,
71,1871,-0.46161290322580645,0.04,,,,
72,1872,-0.5616129032258064,0.03,,,,
73,1873,0.0883870967741936,0.02,,,,
74,1874,0.8783870967741936,0.02,,,,
75,1875,-0.34161290322580645,0.01,,,,
76,1876,-0.13161290322580638,0.02,,,,
77,1877,0.1783870967741936,0.03,,,,
78,1878,0.7383870967741937,0.03,,,,
79,1879,-0.13161290322580638,0.03,,,,
80,1880,0.1183870967741936,0.03,,,,
81,1881,-0.1016129032258064,0.01,,,,
82,1882,0.16838709677419358,-0.01,,,,
83,1883,0.1183870967741936,-0.03,,,,
84,1884,-0.21161290322580645,-0.04,,,,
85,1885,-0.6316129032258064,-0.06,,,,
86,1886,-0.1016129032258064,-0.07,,,,
87,1887,0.2183870967741936,-0.07,,,,
88,1888,-0.32161290322580643,-0.05,,,,
89,1889,0.03838709677419361,-0.03,,,,
90,1890,-0.12161290322580642,-0.0,,,,
91,1891,-0.11161290322580641,0.03,,,,
92,1892,-0.32161290322580643,0.08,,,,
93,1893,0.4183870967741936,0.12,,,,
94,1894,0.7383870967741937,0.16,,,,
95,1895,-0.20161290322580644,0.2,,,,
96,1896,0.2683870967741936,0.23,,,,
97,1897,0.5583870967741936,0.27,,,,
98,1898,0.0283870967741936,0.31,,,,
99,1899,0.6783870967741936,0.35,,,,
100,1900,0.1483870967741936,0.37,,,,
101,1901,0.6383870967741936,0.37,,,,
102,1902,-0.9516129032258065,0.37,,,,
103,1903,0.7083870967741936,0.36,,,,
104,1904,0.6383870967741936,0.35,,,,
105,1905,0.36838709677419357,0.33,,,,
106,1906,0.9183870967741936,0.3,,,,
107,1907,0.07838709677419359,0.28,,,,
108,1908,-0.001612903225806428,0.25,,,,
109,1909,0.10838709677419359,0.21,,,,
110,1910,0.2383870967741936,0.18,,,,
111,1911,0.2283870967741936,0.14,,,,
112,1912,-0.8616129032258064,0.11,,,,
113,1913,0.2383870967741936,0.1,,,,
114,1914,0.6683870967741936,0.11,,,,
115,1915,-0.48161290322580635,0.13,,,,
116,1916,-0.23161290322580635,0.16,,,,
117,1917,0.3583870967741936,0.19,,,,
118,1918,0.1483870967741936,0.23,,,,
119,1919,-0.23161290322580635,0.28,,,,
120,1920,0.6883870967741936,0.32,,,,
121,1921,0.9683870967741937,0.35,,,,
122,1922,0.16838709677419358,0.36,,,,
123,1923,0.3983870967741936,0.38,,,,
124,1924,0.6783870967741936,0.38,,,,
125,1925,0.8083870967741935,0.38,,,,
126,1926,0.5583870967741936,0.38,,,,
127,1927,0.2683870967741936,0.38,,,,
128,1928,0.1283870967741936,0.39,,,,
129,1929,-0.5516129032258064,0.39,,,,
130,1930,0.3083870967741936,0.41,,,,
131,1931,0.05838709677419357,0.43,,,,
132,1932,1.0783870967741935,0.46,,,,
133,1933,-0.44161290322580643,0.49,,,,
134,1934,1.1383870967741936,0.52,,,,
135,1935,0.5583870967741936,0.55,,,,
136,1936,0.7383870967741937,0.59,,,,
137,1937,0.6383870967741936,0.63,,,,
138,1938,1.2183870967741937,0.65,,,,
139,1939,1.0483870967741935,0.65,,,,
140,1940,0.16838709677419358,0.65,,,,
141,1941,-0.7016129032258065,0.65,,,,
142,1942,0.16838709677419358,0.64,,,,
143,1943,1.6683870967741936,0.63,,,,
144,1944,1.3483870967741935,0.61,,,,
145,1945,0.3783870967741936,0.59,,,,
146,1946,-0.08161290322580639,0.58,,,,
147,1947,0.4083870967741936,0.57,,,,
148,1948,1.4083870967741936,0.56,,,,
149,1949,0.8583870967741936,0.54,,,,
150,1950,0.1883870967741936,0.5,,,,
151,1951,0.7283870967741937,0.47,,,,
152,1952,-0.37161290322580637,0.43,,,,
153,1953,1.0083870967741937,0.4,,,,
154,1954,0.4783870967741936,0.39,,,,
155,1955,0.1483870967741936,0.38,,,,
156,1956,-0.0316129032258064,0.38,,,,
157,1957,0.4183870967741936,0.37,,,,
158,1958,-0.37161290322580637,0.36,,,,
159,1959,0.9383870967741936,0.35,,,,
160,1960,-0.1516129032258064,0.33,,,,
161,1961,0.8283870967741935,0.32,,,,
162,1962,1.3583870967741936,0.3,,,,
163,1963,0.7483870967741936,0.3,,,,
164,1964,-0.0316129032258064,0.3,,,,
165,1965,-0.1516129032258064,0.3,,,,
166,1966,-0.5616129032258064,0.29,,,,
167,1967,1.3783870967741936,0.29,,,,
168,1968,0.1483870967741936,0.28,,,,
169,1969,-1.0216129032258066,0.27,,,,
170,1970,0.2283870967741936,0.27,,,,
171,1971,0.7583870967741936,0.27,,,,
172,1972,0.048387096774193616,0.28,,,,
173,1973,0.8983870967741936,0.31,,,,
