Spain,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.2964516129032258,0.42,,,,
1,1801,0.24645161290322581,0.33,,,,
2,1802,0.26645161290322583,0.24,,,,
3,1803,0.09645161290322582,0.14,,,,
4,1804,0.6764516129032259,0.05,,,,
5,1805,-0.16354838709677416,-0.04,,,,
6,1806,0.2564516129032258,-0.13,,,,
7,1807,-0.1435483870967742,-0.22,,,,
8,1808,-0.8335483870967741,-0.31,,,,
9,1809,-0.6835483870967742,-0.4,,,,
10,1810,-0.8635483870967742,-0.47,,,,
11,1811,-0.17354838709677417,-0.51,,,,
12,1812,-0.6435483870967742,-0.54,,,,
13,1813,-0.7435483870967743,-0.54,,,,
14,1814,-1.1235483870967742,-0.52,,,,
15,1815,-0.7235483870967743,-0.48,,,,
16,1816,-1.2335483870967743,-0.43,,,,
17,1817,-0.17354838709677417,-0.37,,,,
18,1818,0.22645161290322582,-0.31,,,,
19,1819,-0.15354838709677415,-0.26,,,,
20,1820,-0.4835483870967742,-0.19,,,,
21,1821,0.26645161290322583,-0.13,,,,
22,1822,0.4264516129032258,-0.08,,,,
23,1823,-0.3135483870967742,-0.04,,,,
24,1824,0.02645161290322584,-0.02,,,,
25,1825,0.18645161290322582,-0.01,,,,
26,1826,-0.003548387096774186,-0.0,,,,
27,1827,-0.24354838709677423,0.0,,,,
28,1828,0.41645161290322585,-0.0,,,,
29,1829,-0.5835483870967741,-0.02,,,,
30,1830,-0.023548387096774204,-0.04,,,,
31,1831,0.5064516129032258,-0.06,,,,
32,1832,-0.12354838709677418,-0.08,,,,
33,1833,-0.18354838709677418,-0.1,,,,
34,1834,0.6264516129032258,-0.12,,,,
35,1835,-0.4335483870967742,-0.13,,,,
36,1836,-0.3135483870967742,-0.14,,,,
37,1837,-0.38354838709677413,-0.16,,,,
38,1838,-0.16354838709677416,-0.17,,,,
39,1839,-0.18354838709677418,-0.18,,,,
40,1840,-0.27354838709677415,-0.18,,,,
41,1841,-0.17354838709677417,-0.17,,,,
42,1842,-0.07354838709677419,-0.15,,,,
43,1843,0.016451612903225832,-0.14,,,,
44,1844,-0.28354838709677416,-0.12,,,,
45,1845,-0.5635483870967741,-0.12,,,,
46,1846,0.7464516129032258,-0.12,,,,
47,1847,0.18645161290322582,-0.12,,,,
48,1848,-0.25354838709677413,-0.13,,,,
49,1849,0.06645161290322582,-0.14,,,,
50,1850,-0.1435483870967742,-0.14,,,,
51,1851,-0.41354838709677416,-0.14,,,,
52,1852,0.3464516129032258,-0.14,,,,
53,1853,-0.8735483870967742,-0.13,,,,
54,1854,-0.28354838709677416,-0.12,,,,
55,1855,-0.7735483870967743,-0.11,,,,
56,1856,0.19645161290322583,-0.09,,,,
57,1857,-0.23354838709677422,-0.08,,,,
58,1858,0.2564516129032258,-0.05,,,,
59,1859,0.20645161290322583,-0.02,,,,
60,1860,-0.3135483870967742,0.01,,,,
61,1861,0.3764516129032258,0.05,,,,
62,1862,0.12645161290322582,0.08,,,,
63,1863,0.036451612903225794,0.11,,,,
64,1864,-0.023548387096774204,0.12,,,,
65,1865,0.036451612903225794,0.11,,,,
66,1866,0.20645161290322583,0.11,,,,
67,1867,0.3164516129032258,0.1,,,,
68,1868,0.3864516129032258,0.09,,,,
69,1869,0.08645161290322581,0.09,,,,
70,1870,0.22645161290322582,0.1,,,,
71,1871,-0.27354838709677415,0.1,,,,
72,1872,-0.1435483870967742,0.1,,,,
73,1873,-0.16354838709677416,0.1,,,,
74,1874,0.1464516129032258,0.08,,,,
75,1875,0.10645161290322583,0.07,,,,
76,1876,0.3564516129032258,0.04,,,,
77,1877,0.3764516129032258,0.01,,,,
78,1878,0.2964516129032258,-0.03,,,,
79,1879,-0.3535483870967742,-0.07,,,,
80,1880,-0.09354838709677415,-0.12,,,,
81,1881,0.5864516129032258,-0.18,,,,
82,1882,-0.17354838709677417,-0.25,,,,
83,1883,-0.6735483870967742,-0.33,,,,
84,1884,-0.5535483870967741,-0.4,,,,
85,1885,-0.7035483870967743,-0.45,,,,
86,1886,-0.42354838709677417,-0.48,,,,
87,1887,-0.6035483870967742,-0.49,,,,
88,1888,-0.7135483870967743,-0.48,,,,
89,1889,-0.9335483870967742,-0.44,,,,
90,1890,-0.8235483870967741,-0.39,,,,
91,1891,-0.6235483870967742,-0.32,,,,
92,1892,-0.07354838709677419,-0.24,,,,
93,1893,0.6264516129032258,-0.16,,,,
94,1894,-0.24354838709677423,-0.1,,,,
95,1895,0.6264516129032258,-0.05,,,,
96,1896,-0.4835483870967742,-0.0,,,,
97,1897,0.8264516129032258,0.04,,,,
98,1898,0.33645161290322584,0.06,,,,
99,1899,1.2564516129032257,0.08,,,,
100,1900,0.33645161290322584,0.08,,,,
101,1901,-0.5035483870967741,0.06,,,,
102,1902,-0.1935483870967742,0.04,,,,
103,1903,-0.1335483870967742,0.02,,,,
104,1904,0.5364516129032258,-0.01,,,,
105,1905,-0.40354838709677415,-0.04,,,,
106,1906,-0.013548387096774195,-0.06,,,,
107,1907,-0.10354838709677416,-0.07,,,,
108,1908,0.2564516129032258,-0.07,,,,
109,1909,-0.39354838709677414,-0.06,,,,
110,1910,-0.3335483870967742,-0.06,,,,
111,1911,0.07645161290322583,-0.06,,,,
112,1912,-0.18354838709677418,-0.06,,,,
113,1913,0.1464516129032258,-0.04,,,,
114,1914,0.036451612903225794,-0.02,,,,
115,1915,0.11645161290322581,0.0,,,,
116,1916,0.016451612903225832,0.03,,,,
117,1917,-0.5435483870967741,0.06,,,,
118,1918,-0.043548387096774166,0.09,,,,
119,1919,-0.06354838709677418,0.11,,,,
120,1920,0.5964516129032258,0.14,,,,
121,1921,0.5364516129032258,0.18,,,,
122,1922,0.10645161290322583,0.22,,,,
123,1923,0.07645161290322583,0.26,,,,
124,1924,0.3664516129032258,0.29,,,,
125,1925,-0.5235483870967741,0.32,,,,
126,1926,0.8464516129032258,0.33,,,,
127,1927,0.39645161290322584,0.33,,,,
128,1928,0.5664516129032258,0.32,,,,
129,1929,0.4764516129032258,0.32,,,,
130,1930,0.4764516129032258,0.33,,,,
131,1931,0.3164516129032258,0.33,,,,
132,1932,-0.2135483870967742,0.33,,,,
133,1933,0.2964516129032258,0.32,,,,
134,1934,0.1764516129032258,0.3,,,,
135,1935,0.21645161290322582,0.29,,,,
136,1936,0.13645161290322583,0.28,,,,
137,1937,0.8764516129032258,0.29,,,,
138,1938,0.5764516129032258,0.31,,,,
139,1939,-0.013548387096774195,0.34,,,,
140,1940,0.2564516129032258,0.38,,,,
141,1941,-0.18354838709677418,0.42,,,,
142,1942,0.3664516129032258,0.47,,,,
143,1943,0.8764516129032258,0.52,,,,
144,1944,0.12645161290322582,0.56,,,,
145,1945,1.1964516129032259,0.59,,,,
146,1946,0.02645161290322584,0.61,,,,
147,1947,1.0764516129032258,0.63,,,,
148,1948,1.1364516129032258,0.65,,,,
149,1949,1.1864516129032259,0.66,,,,
150,1950,0.9364516129032259,0.65,,,,
151,1951,0.036451612903225794,0.64,,,,
152,1952,0.45645161290322583,0.62,,,,
153,1953,0.5864516129032258,0.6,,,,
154,1954,0.12645161290322582,0.58,,,,
155,1955,1.226451612903226,0.55,,,,
156,1956,-0.6135483870967742,0.53,,,,
157,1957,0.21645161290322582,0.51,,,,
158,1958,0.6464516129032258,0.51,,,,
159,1959,0.6264516129032258,0.51,,,,
160,1960,0.39645161290322584,0.51,,,,
161,1961,1.2964516129032257,0.5,,,,
162,1962,0.4764516129032258,0.49,,,,
163,1963,0.08645161290322581,0.47,,,,
164,1964,0.7264516129032258,0.44,,,,
165,1965,0.3164516129032258,0.4,,,,
166,1966,0.6364516129032258,0.35,,,,
167,1967,0.3864516129032258,0.3,,,,
168,1968,0.5864516129032258,0.26,,,,
169,1969,-0.15354838709677415,0.22,,,,
