United Republic of Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.09999999999999998,-0.06,,,,
83,1883,0.020000000000000018,-0.05,,,,
84,1884,-0.19999999999999996,-0.04,,,,
85,1885,-0.07000000000000006,-0.03,,,,
86,1886,0.020000000000000018,-0.01,,,,
87,1887,-0.19000000000000006,0.0,,,,
88,1888,0.08999999999999997,0.02,,,,
89,1889,0.4,0.03,,,,
90,1890,-0.17000000000000004,0.05,,,,
91,1891,-0.07999999999999996,0.07,,,,
92,1892,0.16999999999999998,0.1,,,,
93,1893,-0.15000000000000002,0.13,,,,
94,1894,0.21999999999999997,0.16,,,,
95,1895,0.19,0.19,,,,
96,1896,0.26,0.23,,,,
97,1897,0.25,0.26,,,,
98,1898,0.38,0.27,,,,
99,1899,0.26,0.28,,,,
100,1900,0.8300000000000001,0.28,,,,
101,1901,0.41,0.26,,,,
102,1902,0.64,0.25,,,,
103,1903,0.56,0.22,,,,
104,1904,-0.12,0.2,,,,
105,1905,0.27,0.17,,,,
106,1906,-0.030000000000000027,0.15,,,,
107,1907,-0.14,0.12,,,,
108,1908,0.15999999999999998,0.11,,,,
109,1909,-0.010000000000000009,0.1,,,,
110,1910,-0.24,0.1,,,,
111,1911,-0.12,0.1,,,,
112,1912,0.2,0.12,,,,
113,1913,0.10999999999999999,0.14,,,,
114,1914,0.44,0.16,,,,
115,1915,0.56,0.19,,,,
116,1916,0.13,0.22,,,,
117,1917,0.03999999999999998,0.26,,,,
118,1918,0.18,0.29,,,,
119,1919,0.44,0.32,,,,
120,1920,0.22999999999999998,0.34,,,,
121,1921,0.44,0.36,,,,
122,1922,0.53,0.38,,,,
123,1923,0.29,0.39,,,,
124,1924,0.59,0.41,,,,
125,1925,0.5,0.42,,,,
126,1926,0.42,0.43,,,,
127,1927,0.5,0.43,,,,
128,1928,0.38,0.42,,,,
129,1929,0.45,0.41,,,,
130,1930,0.18,0.4,,,,
131,1931,0.73,0.39,,,,
132,1932,0.3,0.38,,,,
133,1933,0.43,0.38,,,,
134,1934,0.39,0.38,,,,
135,1935,0.29,0.39,,,,
136,1936,0.24,0.39,,,,
137,1937,0.25,0.4,,,,
138,1938,0.38,0.4,,,,
139,1939,0.47,0.41,,,,
140,1940,0.54,0.42,,,,
141,1941,0.89,0.43,,,,
142,1942,0.41,0.44,,,,
143,1943,0.37,0.45,,,,
144,1944,0.49,0.46,,,,
145,1945,0.35,0.46,,,,
146,1946,0.58,0.47,,,,
147,1947,0.31,0.47,,,,
148,1948,0.55,0.47,,,,
149,1949,0.8300000000000001,0.47,,,,
150,1950,0.15999999999999998,0.47,,,,
151,1951,0.32999999999999996,0.47,,,,
152,1952,0.58,0.47,,,,
153,1953,0.72,0.47,,,,
154,1954,0.55,0.47,,,,
155,1955,0.32999999999999996,0.47,,,,
156,1956,0.020000000000000018,0.46,,,,
157,1957,0.35,0.45,,,,
158,1958,0.74,0.43,,,,
159,1959,0.62,0.42,,,,
160,1960,0.37,0.41,,,,
