Republic of Serbia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.4483870967741935,0.69,,,,
1,1801,1.0683870967741935,0.59,,,,
2,1802,1.0383870967741935,0.49,,,,
3,1803,-0.1516129032258065,0.4,,,,
4,1804,0.11838709677419351,0.3,,,,
5,1805,-0.9716129032258065,0.21,,,,
6,1806,0.5783870967741935,0.11,,,,
7,1807,0.7383870967741935,0.02,,,,
8,1808,-0.9416129032258065,-0.08,,,,
9,1809,-0.48161290322580647,-0.18,,,,
10,1810,-0.03161290322580651,-0.25,,,,
11,1811,0.4983870967741935,-0.29,,,,
12,1812,-0.9016129032258065,-0.31,,,,
13,1813,-0.6516129032258065,-0.32,,,,
14,1814,-0.7016129032258065,-0.32,,,,
15,1815,-0.5616129032258066,-0.29,,,,
16,1816,-0.9016129032258065,-0.25,,,,
17,1817,-0.18161290322580653,-0.2,,,,
18,1818,0.1483870967741935,-0.14,,,,
19,1819,0.1583870967741935,-0.07,,,,
20,1820,-0.05161290322580647,-0.0,,,,
21,1821,-0.03161290322580651,0.06,,,,
22,1822,0.9183870967741936,0.1,,,,
23,1823,0.06838709677419352,0.12,,,,
24,1824,0.8083870967741935,0.12,,,,
25,1825,0.1783870967741935,0.09,,,,
26,1826,0.038387096774193497,0.06,,,,
27,1827,0.4183870967741935,0.02,,,,
28,1828,0.008387096774193525,-0.03,,,,
29,1829,-1.2216129032258065,-0.08,,,,
30,1830,-0.19161290322580654,-0.14,,,,
31,1831,-0.17161290322580652,-0.2,,,,
32,1832,-1.0016129032258065,-0.27,,,,
33,1833,-0.1416129032258065,-0.32,,,,
34,1834,0.6283870967741936,-0.36,,,,
35,1835,-0.6516129032258065,-0.37,,,,
36,1836,0.038387096774193497,-0.38,,,,
37,1837,-0.9716129032258065,-0.37,,,,
38,1838,-1.0316129032258063,-0.36,,,,
39,1839,-0.12161290322580648,-0.35,,,,
40,1840,-0.9416129032258065,-0.33,,,,
41,1841,0.6683870967741935,-0.32,,,,
42,1842,-0.48161290322580647,-0.3,,,,
43,1843,0.058387096774193514,-0.27,,,,
44,1844,-0.6116129032258064,-0.24,,,,
45,1845,-0.2516129032258065,-0.2,,,,
