Rwanda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.08571428571428569,-0.08,,,,
83,1883,0.005714285714285727,-0.06,,,,
84,1884,-0.18428571428571433,-0.05,,,,
85,1885,,,,,,
86,1886,0.005714285714285727,-0.02,,,,
87,1887,-0.17428571428571432,-0.01,,,,
88,1888,,,,,,
89,1889,0.4157142857142857,0.02,,,,
90,1890,-0.1542857142857143,0.04,,,,
91,1891,-0.054285714285714326,0.05,,,,
92,1892,0.08571428571428569,0.07,,,,
93,1893,-0.24428571428571427,0.11,,,,
94,1894,0.2657142857142857,0.15,,,,
95,1895,0.2157142857142857,0.2,,,,
96,1896,0.1557142857142857,0.25,,,,
97,1897,0.20571428571428568,0.3,,,,
98,1898,0.3457142857142857,0.36,,,,
99,1899,0.4857142857142857,0.38,,,,
100,1900,0.7257142857142858,0.39,,,,
101,1901,0.8657142857142857,0.38,,,,
102,1902,0.5457142857142857,0.36,,,,
103,1903,0.6057142857142856,0.34,,,,
104,1904,-0.2642857142857143,0.3,,,,
105,1905,0.37571428571428567,0.27,,,,
106,1906,0.055714285714285716,0.22,,,,
107,1907,0.18571428571428572,0.18,,,,
108,1908,-0.1542857142857143,0.14,,,,
109,1909,-0.20428571428571435,0.12,,,,
110,1910,-0.08428571428571435,0.11,,,,
111,1911,-0.054285714285714326,0.11,,,,
112,1912,0.1757142857142857,0.12,,,,
113,1913,0.2457142857142857,0.13,,,,
114,1914,0.3457142857142857,0.15,,,,
115,1915,0.6357142857142857,0.17,,,,
116,1916,0.2157142857142857,0.2,,,,
117,1917,0.01571428571428568,0.22,,,,
118,1918,0.14571428571428569,0.24,,,,
119,1919,0.3157142857142857,0.25,,,,
120,1920,0.08571428571428569,0.26,,,,
121,1921,0.4257142857142857,0.27,,,,
122,1922,0.3657142857142857,0.29,,,,
123,1923,0.1757142857142857,0.32,,,,
124,1924,0.4157142857142857,0.34,,,,
125,1925,0.3457142857142857,0.36,,,,
126,1926,0.1657142857142857,0.38,,,,
127,1927,0.5857142857142857,0.38,,,,
128,1928,0.6357142857142857,0.39,,,,
129,1929,0.4057142857142857,0.39,,,,
130,1930,0.2657142857142857,0.39,,,,
131,1931,0.6857142857142857,0.39,,,,
132,1932,0.3357142857142857,0.39,,,,
133,1933,0.2257142857142857,0.39,,,,
134,1934,0.37571428571428567,0.39,,,,
135,1935,0.3157142857142857,0.39,,,,
136,1936,0.44571428571428573,0.4,,,,
137,1937,0.3957142857142857,0.41,,,,
138,1938,0.4057142857142857,0.42,,,,
139,1939,0.3457142857142857,0.43,,,,
140,1940,0.5657142857142857,0.43,,,,
141,1941,0.9657142857142857,0.44,,,,
142,1942,0.4257142857142857,0.45,,,,
143,1943,0.4857142857142857,0.45,,,,
144,1944,0.44571428571428573,0.45,,,,
145,1945,0.3957142857142857,0.45,,,,
146,1946,0.5157142857142857,0.45,,,,
147,1947,0.3657142857142857,0.45,,,,
148,1948,0.4257142857142857,0.45,,,,
149,1949,0.5857142857142857,0.44,,,,
