South Africa,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.35304347826086957,-0.19,,,,
58,1858,-0.04304347826086952,-0.16,,,,
59,1859,0.04695652173913045,-0.13,,,,
60,1860,-0.1330434782608696,-0.1,,,,
61,1861,-0.12304347826086959,-0.07,,,,
62,1862,-0.33304347826086955,-0.04,,,,
63,1863,-0.1330434782608696,-0.01,,,,
64,1864,-0.03304347826086962,0.01,,,,
65,1865,0.48695652173913045,0.04,,,,
66,1866,0.3569565217391304,0.06,,,,
67,1867,0.33695652173913043,0.08,,,,
68,1868,-0.06304347826086953,0.09,,,,
69,1869,0.33695652173913043,0.1,,,,
70,1870,-0.04304347826086952,0.1,,,,
71,1871,0.08695652173913043,0.09,,,,
72,1872,0.06695652173913041,0.07,,,,
73,1873,,,,,,
74,1874,0.04695652173913045,0.01,,,,
75,1875,-0.15304347826086961,-0.02,,,,
76,1876,-0.15304347826086961,-0.04,,,,
77,1877,0.28695652173913044,-0.06,,,,
78,1878,0.1269565217391304,-0.07,,,,
79,1879,-0.34304347826086956,-0.08,,,,
80,1880,-0.2730434782608696,-0.08,,,,
81,1881,-0.21304347826086956,-0.08,,,,
82,1882,-0.17304347826086952,-0.08,,,,
83,1883,-0.04304347826086952,-0.07,,,,
84,1884,-0.22304347826086957,-0.07,,,,
85,1885,0.13695652173913042,-0.07,,,,
86,1886,0.20695652173913043,-0.07,,,,
87,1887,-0.22304347826086957,-0.06,,,,
88,1888,-0.003043478260869592,-0.06,,,,
89,1889,0.33695652173913043,-0.05,,,,
90,1890,-0.23304347826086957,-0.04,,,,
91,1891,-0.03304347826086962,-0.03,,,,
92,1892,-0.22304347826086957,-0.03,,,,
93,1893,-0.19304347826086954,-0.02,,,,
94,1894,-0.11304347826086958,-0.01,,,,
95,1895,-0.07304347826086954,-0.01,,,,
96,1896,0.5269565217391304,-0.0,,,,
97,1897,0.20695652173913043,-0.0,,,,
98,1898,-0.33304347826086955,-0.01,,,,
99,1899,0.1269565217391304,-0.01,,,,
100,1900,0.5669565217391305,-0.01,,,,
101,1901,0.06695652173913041,-0.02,,,,
102,1902,-0.1330434782608696,-0.03,,,,
103,1903,-0.19304347826086954,-0.04,,,,
104,1904,-0.22304347826086957,-0.04,,,,
105,1905,0.016956521739130426,-0.04,,,,
106,1906,-0.2730434782608696,-0.03,,,,
107,1907,-0.2830434782608696,-0.0,,,,
108,1908,0.006956521739130417,0.03,,,,
109,1909,0.2469565217391304,0.06,,,,
110,1910,-0.1330434782608696,0.1,,,,
111,1911,0.026956521739130435,0.14,,,,
112,1912,0.33695652173913043,0.17,,,,
113,1913,0.5469565217391305,0.21,,,,
114,1914,0.6269565217391304,0.24,,,,
115,1915,0.27695652173913043,0.27,,,,
116,1916,0.29695652173913045,0.3,,,,
117,1917,-0.22304347826086957,0.32,,,,
118,1918,0.14695652173913043,0.33,,,,
119,1919,0.5869565217391304,0.34,,,,
120,1920,0.5369565217391304,0.34,,,,
121,1921,0.006956521739130417,0.35,,,,
122,1922,0.6069565217391304,0.35,,,,
123,1923,0.6469565217391304,0.36,,,,
124,1924,-0.10304347826086957,0.38,,,,
125,1925,0.21695652173913044,0.39,,,,
126,1926,0.43695652173913047,0.4,,,,
127,1927,0.7769565217391304,0.4,,,,
128,1928,0.3569565217391304,0.41,,,,
129,1929,0.42695652173913046,0.41,,,,
130,1930,0.08695652173913043,0.4,,,,
131,1931,0.40695652173913044,0.4,,,,
132,1932,0.6669565217391304,0.4,,,,
133,1933,0.5869565217391304,0.4,,,,
