Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,-0.08818181818181814,-0.15,,,,
61,1861,-0.21818181818181814,-0.15,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.12181818181818183,-0.02,,,,
83,1883,0.051818181818181874,-0.01,,,,
84,1884,-0.1681818181818181,0.0,,,,
85,1885,-0.028181818181818197,0.01,,,,
86,1886,0.041818181818181865,0.02,,,,
87,1887,-0.1481818181818182,0.04,,,,
88,1888,0.14181818181818184,0.05,,,,
89,1889,0.4318181818181819,0.06,,,,
90,1890,-0.13818181818181818,0.08,,,,
91,1891,-0.048181818181818103,0.12,,,,
92,1892,0.25181818181818183,0.15,,,,
93,1893,-0.038181818181818206,0.19,,,,
94,1894,0.3118181818181819,0.23,,,,
95,1895,0.28181818181818186,0.27,,,,
96,1896,0.3618181818181818,0.33,,,,
97,1897,0.34181818181818185,0.39,,,,
98,1898,0.45181818181818184,0.43,,,,
99,1899,0.42181818181818187,0.45,,,,
100,1900,0.9718181818181819,0.46,,,,
101,1901,0.5718181818181819,0.45,,,,
102,1902,0.7818181818181819,0.43,,,,
103,1903,0.6618181818181819,0.41,,,,
104,1904,0.041818181818181865,0.38,,,,
105,1905,0.42181818181818187,0.34,,,,
106,1906,0.14181818181818184,0.29,,,,
107,1907,0.051818181818181874,0.24,,,,
108,1908,0.3118181818181819,0.21,,,,
109,1909,0.14181818181818184,0.2,,,,
110,1910,-0.07818181818181813,0.2,,,,
111,1911,-0.008181818181818179,0.21,,,,
112,1912,0.32181818181818184,0.22,,,,
113,1913,0.25181818181818183,0.23,,,,
114,1914,0.5218181818181818,0.24,,,,
115,1915,0.6418181818181818,0.26,,,,
116,1916,0.14181818181818184,0.28,,,,
117,1917,0.051818181818181874,0.3,,,,
118,1918,0.19181818181818183,0.31,,,,
119,1919,0.47181818181818186,0.32,,,,
120,1920,0.29181818181818187,0.33,,,,
121,1921,0.33181818181818185,0.34,,,,
122,1922,0.45181818181818184,0.37,,,,
123,1923,0.29181818181818187,0.39,,,,
124,1924,0.5318181818181819,0.41,,,,
125,1925,0.42181818181818187,0.42,,,,
126,1926,0.3718181818181818,0.43,,,,
127,1927,0.5118181818181818,0.44,,,,
128,1928,0.47181818181818186,0.44,,,,
129,1929,0.5118181818181818,0.44,,,,
130,1930,0.26181818181818184,0.44,,,,
131,1931,0.8018181818181819,0.43,,,,
132,1932,0.34181818181818185,0.42,,,,
133,1933,0.45181818181818184,0.41,,,,
134,1934,0.4318181818181819,0.41,,,,
135,1935,0.33181818181818185,0.41,,,,
136,1936,0.3118181818181819,0.42,,,,
137,1937,0.3118181818181819,0.43,,,,
138,1938,0.42181818181818187,0.44,,,,
139,1939,0.48181818181818187,0.44,,,,
140,1940,0.5718181818181819,0.45,,,,
141,1941,0.9118181818181819,0.46,,,,
142,1942,0.45181818181818184,0.47,,,,
143,1943,0.38181818181818183,0.48,,,,
144,1944,0.5018181818181818,0.48,,,,
145,1945,0.3718181818181818,0.48,,,,
146,1946,0.5918181818181818,0.47,,,,
147,1947,0.33181818181818185,0.47,,,,
