Sudan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,-0.09909090909090912,-0.08,,,,
59,1859,-0.06909090909090909,-0.06,,,,
60,1860,0.06090909090909091,-0.04,,,,
61,1861,-0.32909090909090905,-0.02,,,,
62,1862,-0.7890909090909091,-0.01,,,,
63,1863,,,,,,
64,1864,0.2209090909090909,0.01,,,,
65,1865,0.2309090909090909,0.02,,,,
66,1866,0.2909090909090909,0.03,,,,
67,1867,0.4109090909090909,0.05,,,,
68,1868,-0.1390909090909091,0.06,,,,
69,1869,0.3109090909090909,0.06,,,,
70,1870,0.07090909090909092,0.05,,,,
71,1871,-0.31909090909090915,0.03,,,,
72,1872,-0.21909090909090906,0.02,,,,
73,1873,0.12090909090909091,0.01,,,,
74,1874,0.010909090909090924,0.01,,,,
75,1875,-0.6190909090909091,0.01,,,,
76,1876,-0.15909090909090912,0.01,,,,
77,1877,0.3109090909090909,-0.0,,,,
78,1878,0.6609090909090909,-0.01,,,,
79,1879,-0.049090909090909074,-0.02,,,,
80,1880,0.09090909090909088,-0.03,,,,
81,1881,0.4209090909090909,-0.04,,,,
82,1882,-0.17909090909090913,-0.05,,,,
83,1883,-0.1390909090909091,-0.06,,,,
84,1884,-0.43909090909090914,-0.07,,,,
85,1885,-0.19909090909090915,-0.09,,,,
86,1886,-0.34909090909090906,-0.1,,,,
87,1887,-0.21909090909090906,-0.11,,,,
88,1888,0.040909090909090895,-0.11,,,,
89,1889,0.1409090909090909,-0.11,,,,
90,1890,-0.1290909090909091,-0.09,,,,
91,1891,0.050909090909090904,-0.07,,,,
92,1892,-0.08909090909090911,-0.05,,,,
93,1893,-0.2890909090909091,-0.03,,,,
94,1894,0.08090909090909087,-0.01,,,,
95,1895,-0.02909090909090911,0.01,,,,
96,1896,0.08090909090909087,0.02,,,,
97,1897,-0.16909090909090913,0.02,,,,
98,1898,0.0009090909090909149,0.01,,,,
99,1899,0.2009090909090909,0.0,,,,
100,1900,0.3009090909090909,-0.01,,,,
101,1901,0.7809090909090909,-0.01,,,,
102,1902,0.12090909090909091,-0.02,,,,
103,1903,-0.42909090909090913,-0.02,,,,
104,1904,-0.4190909090909091,-0.04,,,,
105,1905,-0.03909090909090912,-0.06,,,,
106,1906,-0.20909090909090905,-0.09,,,,
107,1907,-0.08909090909090911,-0.11,,,,
108,1908,0.030909090909090886,-0.12,,,,
109,1909,0.2109090909090909,-0.13,,,,
110,1910,-0.24909090909090909,-0.12,,,,
111,1911,-0.2590909090909091,-0.11,,,,
112,1912,-0.33909090909090905,-0.1,,,,
113,1913,-0.45909090909090905,-0.1,,,,
114,1914,0.6309090909090909,-0.09,,,,
115,1915,0.6109090909090908,-0.09,,,,
116,1916,-0.15909090909090912,-0.07,,,,
117,1917,-0.5290909090909091,-0.05,,,,
118,1918,-0.049090909090909074,-0.01,,,,
119,1919,0.6709090909090909,0.02,,,,
120,1920,-0.5390909090909091,0.06,,,,
121,1921,0.12090909090909091,0.1,,,,
122,1922,0.0009090909090909149,0.14,,,,
123,1923,0.040909090909090895,0.18,,,,
124,1924,0.5209090909090909,0.22,,,,
125,1925,0.3209090909090909,0.26,,,,
126,1926,0.2909090909090909,0.29,,,,
127,1927,0.46090909090909093,0.32,,,,
128,1928,0.8409090909090908,0.35,,,,
129,1929,0.09090909090909088,0.38,,,,
130,1930,0.08090909090909087,0.39,,,,
131,1931,0.7109090909090909,0.41,,,,
132,1932,0.3209090909090909,0.42,,,,
133,1933,0.7009090909090909,0.44,,,,
