Morocco,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.18000000000000002,0.42,,,,
1,1801,0.19,0.33,,,,
2,1802,0.30000000000000004,0.23,,,,
3,1803,0.12000000000000002,0.13,,,,
4,1804,0.56,0.03,,,,
5,1805,0.21000000000000002,-0.07,,,,
6,1806,0.04999999999999999,-0.16,,,,
7,1807,-0.13999999999999996,-0.26,,,,
8,1808,-0.75,-0.35,,,,
9,1809,-0.8299999999999998,-0.44,,,,
10,1810,-1.1099999999999999,-0.52,,,,
11,1811,-0.8899999999999999,-0.58,,,,
12,1812,-0.6699999999999999,-0.62,,,,
13,1813,-0.56,-0.64,,,,
14,1814,-0.8799999999999999,-0.64,,,,
15,1815,-0.8599999999999999,-0.61,,,,
16,1816,-1.0999999999999999,-0.57,,,,
17,1817,-0.24999999999999994,-0.51,,,,
18,1818,0.11000000000000001,-0.45,,,,
19,1819,-0.5900000000000001,-0.39,,,,
20,1820,-0.49999999999999994,-0.33,,,,
21,1821,0.0,-0.27,,,,
22,1822,-0.2,-0.21,,,,
23,1823,-0.23000000000000004,-0.17,,,,
24,1824,0.19,-0.13,,,,
25,1825,-0.07,-0.11,,,,
26,1826,-0.019999999999999962,-0.1,,,,
27,1827,0.1,-0.09,,,,
28,1828,-0.12,-0.09,,,,
29,1829,-0.25999999999999995,-0.11,,,,
30,1830,0.22000000000000003,-0.13,,,,
31,1831,-0.04999999999999999,-0.15,,,,
32,1832,-0.51,-0.17,,,,
33,1833,-0.23999999999999994,-0.2,,,,
34,1834,0.27,-0.22,,,,
35,1835,-0.56,-0.23,,,,
36,1836,-0.31,-0.24,,,,
37,1837,-0.37999999999999995,-0.26,,,,
38,1838,-0.22000000000000003,-0.26,,,,
39,1839,-0.38999999999999996,-0.26,,,,
40,1840,-0.2,-0.25,,,,
41,1841,-0.41,-0.24,,,,
42,1842,-0.06,-0.23,,,,
43,1843,-0.010000000000000009,-0.22,,,,
44,1844,-0.46,-0.2,,,,
45,1845,-0.49999999999999994,-0.18,,,,
46,1846,0.37,-0.16,,,,
47,1847,0.030000000000000027,-0.15,,,,
48,1848,-0.39999999999999997,-0.14,,,,
49,1849,-0.15999999999999998,-0.14,,,,
50,1850,-0.15999999999999998,-0.14,,,,
51,1851,0.15000000000000002,-0.14,,,,
52,1852,0.08000000000000002,-0.13,,,,
53,1853,-0.21000000000000002,-0.12,,,,
54,1854,-0.23999999999999994,-0.11,,,,
55,1855,-0.39999999999999997,-0.11,,,,
56,1856,-0.16999999999999998,-0.1,,,,
57,1857,-0.34,-0.1,,,,
58,1858,0.49,-0.09,,,,
59,1859,0.17,-0.07,,,,
60,1860,-0.24999999999999994,-0.05,,,,
61,1861,0.12000000000000002,-0.03,,,,
62,1862,-0.18,0.0,,,,
63,1863,-0.35000000000000003,0.02,,,,
64,1864,0.19,0.03,,,,
65,1865,0.14,0.03,,,,
66,1866,0.14,0.03,,,,
67,1867,0.5700000000000001,0.02,,,,
68,1868,-0.10999999999999999,0.03,,,,
69,1869,0.010000000000000009,0.03,,,,
70,1870,0.19,0.04,,,,
71,1871,-0.10999999999999999,0.04,,,,
72,1872,-0.24999999999999994,0.04,,,,
73,1873,-0.08999999999999997,0.04,,,,
74,1874,-0.02999999999999997,0.03,,,,
75,1875,-0.019999999999999962,0.01,,,,
76,1876,0.32,-0.01,,,,
77,1877,0.36,-0.04,,,,
78,1878,0.71,-0.07,,,,
79,1879,-0.09999999999999998,-0.1,,,,
80,1880,-0.6299999999999999,-0.13,,,,
81,1881,0.42000000000000004,-0.16,,,,
82,1882,-0.23999999999999994,-0.2,,,,
83,1883,-0.55,-0.25,,,,
84,1884,-0.55,-0.29,,,,
85,1885,-0.55,-0.31,,,,
86,1886,-0.36999999999999994,-0.32,,,,
87,1887,-0.03999999999999998,-0.3,,,,
88,1888,-0.3,-0.26,,,,
89,1889,-0.6499999999999999,-0.22,,,,
90,1890,-0.74,-0.17,,,,
91,1891,-0.18,-0.11,,,,
92,1892,0.14,-0.05,,,,
93,1893,0.63,0.01,,,,
94,1894,-0.13999999999999996,0.06,,,,
95,1895,0.7,0.11,,,,
96,1896,-0.27999999999999997,0.15,,,,
97,1897,0.5700000000000001,0.19,,,,
98,1898,0.2,0.21,,,,
99,1899,1.07,0.21,,,,
100,1900,0.32,0.19,,,,
101,1901,0.23,0.17,,,,
102,1902,0.28,0.15,,,,
103,1903,0.06,0.12,,,,
104,1904,0.08000000000000002,0.09,,,,
105,1905,0.020000000000000018,0.06,,,,
106,1906,-0.10999999999999999,0.03,,,,
107,1907,-0.47000000000000003,0.02,,,,
108,1908,-0.04999999999999999,0.0,,,,
109,1909,0.020000000000000018,-0.01,,,,
110,1910,-0.02999999999999997,-0.01,,,,
111,1911,-0.08999999999999997,-0.02,,,,
112,1912,0.030000000000000027,-0.02,,,,
113,1913,0.25,-0.02,,,,
114,1914,0.13,-0.02,,,,
115,1915,0.14,-0.01,,,,
116,1916,-0.07999999999999996,-0.0,,,,
117,1917,-0.35999999999999993,0.0,,,,
118,1918,-0.29,0.01,,,,
119,1919,-0.010000000000000009,0.02,,,,
120,1920,0.25,0.03,,,,
121,1921,-0.02999999999999997,0.05,,,,
122,1922,0.040000000000000036,0.08,,,,
123,1923,-0.03999999999999998,0.11,,,,
124,1924,0.35000000000000003,0.14,,,,
125,1925,-0.25999999999999995,0.16,,,,
126,1926,0.94,0.18,,,,
127,1927,0.43000000000000005,0.19,,,,
128,1928,0.25,0.19,,,,
129,1929,0.29000000000000004,0.19,,,,
130,1930,0.39,0.2,,,,
131,1931,0.2,0.21,,,,
132,1932,-0.07999999999999996,0.22,,,,
133,1933,0.17,0.23,,,,
134,1934,-0.24999999999999994,0.24,,,,
135,1935,0.1,0.25,,,,
136,1936,0.19,0.26,,,,
137,1937,0.95,0.27,,,,
138,1938,0.44,0.29,,,,
139,1939,0.12000000000000002,0.32,,,,
