Tonga,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,0.25181818181818183,0.26,,,,
68,1868,,,,,,
69,1869,-0.05818181818181822,0.21,,,,
70,1870,,,,,,
71,1871,0.4818181818181818,0.17,,,,
72,1872,0.3318181818181818,0.15,,,,
73,1873,0.07181818181818184,0.13,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,,,,,,
83,1883,-0.048181818181818215,-0.09,,,,
84,1884,-0.4481818181818181,-0.13,,,,
85,1885,-0.36818181818181817,-0.19,,,,
86,1886,-0.20818181818181813,-0.17,,,,
87,1887,-0.048181818181818215,-0.13,,,,
88,1888,,,,,,
89,1889,,,,,,
90,1890,0.04181818181818181,0.01,,,,
91,1891,-0.07818181818181813,0.05,,,,
92,1892,0.021818181818181848,0.1,,,,
93,1893,0.25181818181818183,0.15,,,,
94,1894,0.3418181818181818,0.19,,,,
95,1895,0.13181818181818183,0.21,,,,
96,1896,0.28181818181818186,0.23,,,,
97,1897,0.4818181818181818,0.23,,,,
98,1898,0.5118181818181818,0.24,,,,
99,1899,0.3718181818181818,0.22,,,,
100,1900,0.26181818181818184,0.2,,,,
101,1901,0.2318181818181818,0.17,,,,
102,1902,-0.1581818181818182,0.14,,,,
103,1903,0.12181818181818183,0.11,,,,
104,1904,-0.3181818181818181,0.08,,,,
105,1905,-0.038181818181818206,0.06,,,,
106,1906,0.17181818181818181,0.04,,,,
107,1907,-0.028181818181818197,0.03,,,,
108,1908,0.08181818181818185,0.02,,,,
109,1909,-0.24818181818181817,0.03,,,,
110,1910,0.3418181818181818,0.04,,,,
111,1911,0.14181818181818184,0.05,,,,
112,1912,0.0018181818181818299,0.06,,,,
113,1913,-0.1581818181818182,0.07,,,,
114,1914,-0.08818181818181814,0.08,,,,
115,1915,0.17181818181818181,0.08,,,,
116,1916,0.5118181818181818,0.09,,,,
117,1917,0.2318181818181818,0.1,,,,
118,1918,-0.018181818181818188,0.1,,,,
119,1919,0.07181818181818184,0.12,,,,
120,1920,-0.05818181818181822,0.13,,,,
121,1921,0.29181818181818187,0.15,,,,
122,1922,0.14181818181818184,0.17,,,,
123,1923,-0.1681818181818182,0.18,,,,
124,1924,0.41181818181818186,0.2,,,,
125,1925,0.11181818181818182,0.21,,,,
126,1926,0.21181818181818185,0.22,,,,
127,1927,0.7918181818181818,0.22,,,,
128,1928,0.4318181818181818,0.23,,,,
129,1929,0.41181818181818186,0.24,,,,
130,1930,-0.13818181818181818,0.26,,,,
131,1931,0.03181818181818186,0.27,,,,
132,1932,0.27181818181818185,0.28,,,,
133,1933,0.1618181818181818,0.29,,,,
134,1934,0.1618181818181818,0.3,,,,
135,1935,0.6218181818181818,0.31,,,,
136,1936,0.3418181818181818,0.32,,,,
137,1937,0.5318181818181819,0.34,,,,
138,1938,0.7518181818181818,0.36,,,,
139,1939,-0.1581818181818182,0.38,,,,
140,1940,-0.008181818181818179,0.4,,,,
141,1941,0.46181818181818185,0.42,,,,
142,1942,0.45181818181818184,0.43,,,,
143,1943,0.41181818181818186,0.45,,,,
144,1944,0.38181818181818183,0.47,,,,
145,1945,0.3718181818181818,0.5,,,,
146,1946,0.6918181818181819,0.53,,,,
