Israel,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.1916129032258065,-1.23,,,,
10,1810,-1.0916129032258064,-1.18,,,,
11,1811,-1.2916129032258064,-1.13,,,,
12,1812,-1.1216129032258064,-1.08,,,,
13,1813,-0.9216129032258065,-1.03,,,,
14,1814,-0.6416129032258064,-0.98,,,,
15,1815,-0.9916129032258065,-0.93,,,,
16,1816,-1.3816129032258064,-0.87,,,,
17,1817,-1.1416129032258064,-0.82,,,,
18,1818,-0.2516129032258065,-0.77,,,,
19,1819,-0.8716129032258064,-0.7,,,,
20,1820,-0.6216129032258064,-0.64,,,,
21,1821,-0.5516129032258066,-0.58,,,,
22,1822,-0.7516129032258063,-0.53,,,,
23,1823,-0.36161290322580647,-0.48,,,,
24,1824,0.24838709677419352,-0.44,,,,
25,1825,-0.46161290322580645,-0.42,,,,
26,1826,-0.35161290322580646,-0.42,,,,
27,1827,0.4383870967741935,-0.42,,,,
28,1828,-0.4016129032258065,-0.44,,,,
29,1829,-0.44161290322580643,-0.47,,,,
30,1830,-0.09161290322580645,-0.5,,,,
31,1831,-0.7116129032258065,-0.55,,,,
32,1832,-1.3916129032258064,-0.61,,,,
33,1833,-0.5116129032258065,-0.66,,,,
34,1834,-0.5916129032258064,-0.7,,,,
35,1835,-0.9816129032258065,-0.73,,,,
36,1836,-0.7116129032258065,-0.75,,,,
37,1837,-1.0516129032258064,-0.75,,,,
38,1838,-1.0916129032258064,-0.74,,,,
39,1839,-0.8516129032258064,-0.71,,,,
40,1840,-0.8416129032258064,-0.66,,,,
41,1841,-0.5316129032258066,-0.61,,,,
42,1842,-0.44161290322580643,-0.56,,,,
43,1843,-0.47161290322580646,-0.5,,,,
44,1844,-0.6016129032258064,-0.43,,,,
45,1845,-0.4116129032258065,-0.37,,,,
46,1846,0.2383870967741935,-0.31,,,,
47,1847,-0.1416129032258065,-0.26,,,,
48,1848,-0.10161290322580646,-0.22,,,,
49,1849,-0.16161290322580651,-0.19,,,,
50,1850,-0.6916129032258065,-0.18,,,,
51,1851,0.12838709677419352,-0.17,,,,
52,1852,-0.041612903225806464,-0.16,,,,
53,1853,0.4283870967741935,-0.16,,,,
54,1854,-0.44161290322580643,-0.16,,,,
55,1855,-0.0216129032258065,-0.16,,,,
56,1856,-0.48161290322580647,-0.16,,,,
57,1857,-0.7216129032258065,-0.16,,,,
58,1858,-0.06161290322580648,-0.14,,,,
59,1859,0.038387096774193497,-0.11,,,,
60,1860,0.3183870967741935,-0.08,,,,
61,1861,-0.5316129032258066,-0.04,,,,
62,1862,-0.5516129032258066,0.01,,,,
63,1863,-0.2616129032258065,0.05,,,,
64,1864,0.47838709677419355,0.08,,,,
65,1865,0.5783870967741935,0.11,,,,
66,1866,0.3783870967741935,0.14,,,,
67,1867,0.34838709677419355,0.15,,,,
68,1868,-0.031612903225806455,0.17,,,,
69,1869,0.5683870967741935,0.19,,,,
70,1870,0.15838709677419352,0.21,,,,
71,1871,-0.5816129032258064,0.22,,,,
72,1872,0.13838709677419353,0.22,,,,
73,1873,0.46838709677419355,0.22,,,,
74,1874,-0.24161290322580647,0.21,,,,
75,1875,-1.1516129032258065,0.19,,,,
76,1876,0.2883870967741935,0.16,,,,
77,1877,0.6283870967741936,0.13,,,,
78,1878,0.5483870967741935,0.09,,,,
79,1879,0.6683870967741935,0.06,,,,
80,1880,-0.35161290322580646,0.02,,,,
81,1881,0.18838709677419352,-0.01,,,,
82,1882,-0.6816129032258065,-0.05,,,,
83,1883,-0.3116129032258064,-0.08,,,,
84,1884,-0.8716129032258064,-0.11,,,,
85,1885,-0.011612903225806492,-0.14,,,,
86,1886,-0.6516129032258065,-0.16,,,,
87,1887,-0.07161290322580649,-0.17,,,,
88,1888,-0.011612903225806492,-0.18,,,,
89,1889,0.16838709677419353,-0.18,,,,
90,1890,-0.06161290322580648,-0.18,,,,
91,1891,-0.041612903225806464,-0.18,,,,
92,1892,0.24838709677419352,-0.18,,,,
93,1893,-0.4916129032258065,-0.17,,,,
94,1894,-0.7616129032258063,-0.16,,,,
95,1895,-0.3816129032258065,-0.15,,,,
96,1896,-0.06161290322580648,-0.15,,,,
97,1897,-0.6716129032258065,-0.15,,,,
98,1898,-0.19161290322580643,-0.16,,,,
99,1899,0.008387096774193525,-0.17,,,,
100,1900,0.34838709677419355,-0.17,,,,
101,1901,0.7983870967741935,-0.18,,,,
102,1902,0.46838709677419355,-0.18,,,,
103,1903,-0.3916129032258065,-0.19,,,,
104,1904,-0.4116129032258065,-0.22,,,,
105,1905,-0.4216129032258065,-0.25,,,,
